id,comp_id,molecule_chembl_id,species,mic,units,censoring,molecular_weight,assay_parameters,source,source_journal
1,10115,CHEMBL4545569,"Escherichia coli",0.5,ug.mL-1,"'='",520.56,"","Scientific Literature","J Med Chem"
2,10116,CHEMBL4462541,"Escherichia coli",32.0,ug.mL-1,"'='",862.12,"","Scientific Literature","Eur J Med Chem"
3,10117,CHEMBL4463662,"Escherichia coli",64.0,ug.mL-1,"'='",976.14,"","Scientific Literature","Eur J Med Chem"
4,10118,CHEMBL4476233,"Escherichia coli",128.0,ug.mL-1,"'='",976.14,"","Scientific Literature","Eur J Med Chem"
5,10119,CHEMBL4593661,"Escherichia coli",0.25,ug.mL-1,"'='",447.51,"","Scientific Literature","J Med Chem"
6,10120,CHEMBL4570914,"Escherichia coli",0.12,ug.mL-1,"'='",490.6,"","Scientific Literature","J Med Chem"
7,10121,CHEMBL3338941,"Escherichia coli",1.0,ug.mL-1,"'<'",765.84,"","Scientific Literature","Bioorg. Med. Chem. Lett."
8,10122,CHEMBL2337351,"Escherichia coli",64.0,ug.mL-1,"'='",450.54,"","Scientific Literature","Bioorg. Med. Chem."
9,10123,CHEMBL4513993,"Escherichia coli",64.0,ug.mL-1,"'>'",425.19,"","Scientific Literature","Bioorg Med Chem"
10,10124,CHEMBL2430803,"Escherichia coli",62.5,ug.mL-1,"'='",552.57,"","Scientific Literature","Med Chem Res"
11,10125,CHEMBL2430802,"Escherichia coli",62.5,ug.mL-1,"'='",546.56,"","Scientific Literature","Med Chem Res"
12,10126,CHEMBL2414967,"Escherichia coli",64.0,ug.mL-1,"'>'",597.52,"","Scientific Literature","Eur. J. Med. Chem."
13,10127,CHEMBL550799,"Escherichia coli",64.0,ug.mL-1,"'>'",471.32,"","Scientific Literature","Eur. J. Med. Chem."
14,10128,CHEMBL576346,"Escherichia coli",100.0,ug.mL-1,"'>'",444.61,"","Scientific Literature","J. Nat. Prod."
15,10129,CHEMBL573138,"Escherichia coli",100.0,ug.mL-1,"'>'",458.64,"","Scientific Literature","J. Nat. Prod."
16,10130,CHEMBL503814,"Escherichia coli",64.0,ug.mL-1,"'>'",221.29,"","Scientific Literature","Eur. J. Med. Chem."
17,10131,CHEMBL1241113,"Escherichia coli",32.0,ug.mL-1,"'='",355.5,"","Scientific Literature","Eur. J. Med. Chem."
18,10132,CHEMBL3331305,"Escherichia coli",0.06,ug.mL-1,"'='",482.49,"","Scientific Literature","Eur. J. Med. Chem."
19,10133,CHEMBL1288855,"Escherichia coli",16.0,ug.mL-1,"'='",1782.34,"","Scientific Literature","Bioorg. Med. Chem."
20,10134,CHEMBL1288848,"Escherichia coli",64.0,ug.mL-1,"'>'",1900.34,"","Scientific Literature","Bioorg. Med. Chem."
21,10135,CHEMBL1242168,"Escherichia coli",16.0,ug.mL-1,"'='",423.3,"","Scientific Literature","Eur. J. Med. Chem."
22,10136,CHEMBL472823,"Escherichia coli",25.0,ug.mL-1,"'='",314.79,"","Scientific Literature","Eur. J. Med. Chem."
23,10137,CHEMBL473410,"Escherichia coli",25.0,ug.mL-1,"'='",331.25,"","Scientific Literature","Eur. J. Med. Chem."
24,10138,CHEMBL8,"Escherichia coli",0.19,ug.mL-1,"'='",331.35,"","Scientific Literature","Eur. J. Med. Chem."
25,10139,CHEMBL1222562,"Escherichia coli",21.5,ug.mL-1,"'='",372.82,"","Scientific Literature","Bioorg. Med. Chem. Lett."
26,10140,CHEMBL573498,"Escherichia coli",64.0,ug.mL-1,"'>'",432.37,"","Scientific Literature","Eur. J. Med. Chem."
27,10141,CHEMBL562266,"Escherichia coli",64.0,ug.mL-1,"'>'",388.4,"","Scientific Literature","Eur. J. Med. Chem."
28,10142,CHEMBL552067,"Escherichia coli",64.0,ug.mL-1,"'>'",402.43,"","Scientific Literature","Eur. J. Med. Chem."
29,10143,CHEMBL3605123,"Escherichia coli",8.0,ug.mL-1,"'='",565.65,"","Scientific Literature","Bioorg. Med. Chem. Lett."
30,10144,CHEMBL4471867,"Escherichia coli",64.0,ug.mL-1,"'>'",571.04,"","Scientific Literature","Eur J Med Chem"
31,10145,CHEMBL1730,"Escherichia coli",1.0,ug.mL-1,"'='",455.47,"","Scientific Literature","Antimicrob. Agents Chemother."
32,10146,CHEMBL4535159,"Escherichia coli",400.0,ug.mL-1,"'>'",214.05,"","Scientific Literature","Eur J Med Chem"
33,10147,CHEMBL3234392,"Escherichia coli",128.0,ug.mL-1,"'>'",362.81,"","Scientific Literature","J. Nat. Prod."
34,10148,CHEMBL1771472,"Escherichia coli",16.0,ug.mL-1,"'>'",368.42,"","Scientific Literature","Bioorg. Med. Chem. Lett."
35,10149,CHEMBL3091758,"Escherichia coli",800.0,ug.mL-1,"'='",406.34,"","Scientific Literature","Bioorg. Med. Chem. Lett."
36,10150,CHEMBL3092158,"Escherichia coli",100.0,ug.mL-1,"'='",283.41,"","Scientific Literature","Eur. J. Med. Chem."
37,10151,CHEMBL33,"Escherichia coli",0.12,ug.mL-1,"'='",361.37,"","Scientific Literature","Bioorg. Med. Chem. Lett."
38,10152,CHEMBL567803,"Escherichia coli",4.0,ug.mL-1,"'='",431.44,"","Scientific Literature","Bioorg. Med. Chem. Lett."
39,10153,CHEMBL571962,"Escherichia coli",32.0,ug.mL-1,"'='",602.73,"","Scientific Literature","J. Med. Chem."
40,10154,CHEMBL3086186,"Escherichia coli",1.56,ug.mL-1,"'='",296.29,"","Scientific Literature","Eur. J. Med. Chem."
41,10155,CHEMBL3098265,"Escherichia coli",25.0,ug.mL-1,"'='",300.32,"","Scientific Literature","Bioorg. Med. Chem. Lett."
42,10156,CHEMBL540229,"Escherichia coli",8.0,ug.mL-1,"'='",1014.31,"","Scientific Literature","Eur. J. Med. Chem."
43,10157,CHEMBL3086182,"Escherichia coli",1.56,ug.mL-1,"'='",262.25,"","Scientific Literature","Eur. J. Med. Chem."
44,10158,CHEMBL2297694,"Escherichia coli",31.25,ug.mL-1,"'='",492.4,"","Scientific Literature","Med Chem Res"
45,10159,CHEMBL2417678,"Escherichia coli",31.3,ug.mL-1,"'='",368.44,"","Scientific Literature","Eur. J. Med. Chem."
46,10160,CHEMBL2417815,"Escherichia coli",125.0,ug.mL-1,"'='",555.61,"","Scientific Literature","Eur. J. Med. Chem."
47,10161,CHEMBL2417811,"Escherichia coli",250.0,ug.mL-1,"'='",561.59,"","Scientific Literature","Eur. J. Med. Chem."
48,10162,CHEMBL1771465,"Escherichia coli",16.0,ug.mL-1,"'>'",394.44,"","Scientific Literature","Bioorg. Med. Chem. Lett."
49,10163,CHEMBL2298915,"Escherichia coli",25.0,ug.mL-1,"'='",379.95,"","Scientific Literature","Med Chem Res"
50,10164,CHEMBL2296012,"Escherichia coli",25.0,ug.mL-1,"'='",475.92,"","Scientific Literature","Med Chem Res"
51,10165,CHEMBL2337349,"Escherichia coli",128.0,ug.mL-1,"'>'",379.41,"","Scientific Literature","Bioorg. Med. Chem."
52,10166,CHEMBL458512,"Escherichia coli",16.0,ug.mL-1,"'='",558.63,"","Scientific Literature","Bioorg. Med. Chem."
53,10167,CHEMBL2063909,"Escherichia coli",8.0,ug.mL-1,"'='",582.63,"","Scientific Literature","Bioorg. Med. Chem. Lett."
54,10168,CHEMBL3236537,"Escherichia coli",32.0,ug.mL-1,"'>'",585.83,"","Scientific Literature","Bioorg. Med. Chem. Lett."
55,10169,CHEMBL2238065,"Escherichia coli",12.5,ug.mL-1,"'='",367.24,"","Scientific Literature","Med Chem Res"
56,10170,CHEMBL3236529,"Escherichia coli",32.0,ug.mL-1,"'>'",471.64,"","Scientific Literature","Bioorg. Med. Chem. Lett."
57,10171,CHEMBL3236794,"Escherichia coli",32.0,ug.mL-1,"'>'",286.38,"","Scientific Literature","Bioorg. Med. Chem. Lett."
58,10172,CHEMBL3236797,"Escherichia coli",32.0,ug.mL-1,"'>'",384.56,"","Scientific Literature","Bioorg. Med. Chem. Lett."
59,10173,CHEMBL1088307,"Escherichia coli",20.0,ug.mL-1,"'='",364.34,"","Scientific Literature","Eur. J. Med. Chem."
60,10174,CHEMBL2431102,"Escherichia coli",50.0,ug.mL-1,"'>'",1213.0,"","Scientific Literature","ACS Med. Chem. Lett."
61,10175,CHEMBL2386044,"Escherichia coli",12.5,ug.mL-1,"'='",347.37,"","Scientific Literature","Eur. J. Med. Chem."
62,10176,CHEMBL4584181,"Escherichia coli",64.0,ug.mL-1,"'>'",522.57,"","Scientific Literature","Eur J Med Chem"
63,10177,CHEMBL4522668,"Escherichia coli",64.0,ug.mL-1,"'='",356.5,"","Scientific Literature","Eur J Med Chem"
64,10178,CHEMBL3039597,"Escherichia coli",0.5,ug.mL-1,"'='",1390.73,"","Scientific Literature","Eur. J. Med. Chem."
65,10179,CHEMBL1276570,"Escherichia coli",150.0,ug.mL-1,"'='",328.37,"","Scientific Literature","Eur. J. Med. Chem."
66,10180,CHEMBL1276751,"Escherichia coli",250.0,ug.mL-1,"'='",323.35,"","Scientific Literature","Eur. J. Med. Chem."
67,10181,CHEMBL1276779,"Escherichia coli",250.0,ug.mL-1,"'='",339.35,"","Scientific Literature","Eur. J. Med. Chem."
68,10138,CHEMBL8,"Escherichia coli",0.25,ug.mL-1,"'='",331.35,"","Scientific Literature","Antimicrob. Agents Chemother."
69,10182,CHEMBL1210007,"Escherichia coli",6.25,ug.mL-1,"'='",384.28,"","Scientific Literature","Eur. J. Med. Chem."
70,10183,CHEMBL1210122,"Escherichia coli",6.25,ug.mL-1,"'='",436.36,"","Scientific Literature","Eur. J. Med. Chem."
71,10184,CHEMBL488328,"Escherichia coli",64.0,ug.mL-1,"'>'",219.28,"","Scientific Literature","Eur. J. Med. Chem."
72,10185,CHEMBL1440,"Escherichia coli",2.0,ug.mL-1,"'='",444.44,"","Scientific Literature","Med Chem Res"
73,10186,CHEMBL9,"Escherichia coli",1.0,ug.mL-1,"'='",319.34,"","Scientific Literature","Antimicrob. Agents Chemother."
74,10186,CHEMBL9,"Escherichia coli",2.0,ug.mL-1,"'='",319.34,"","Scientific Literature","Antimicrob. Agents Chemother."
75,10187,CHEMBL1668447,"Escherichia coli",100.0,ug.mL-1,"'>'",424.46,"","Scientific Literature","Bioorg. Med. Chem. Lett."
76,10188,CHEMBL2385265,"Escherichia coli",3.13,ug.mL-1,"'='",654.9,"","Scientific Literature","ACS Med. Chem. Lett."
77,10138,CHEMBL8,"Escherichia coli",0.12,ug.mL-1,"'='",331.35,"","Scientific Literature","J. Nat. Prod."
78,10189,CHEMBL1093575,"Escherichia coli",1024.0,ug.mL-1,"'='",252.27,"","Scientific Literature","Bioorg. Med. Chem."
79,10190,CHEMBL3237641,"Escherichia coli",100.0,ug.mL-1,"'='",420.52,"","Scientific Literature","Eur. J. Med. Chem."
80,10191,CHEMBL1555668,"Escherichia coli",50.0,ug.mL-1,"'='",326.4,"","Scientific Literature","Eur. J. Med. Chem."
81,10192,CHEMBL3425930,"Escherichia coli",32.0,ug.mL-1,"'='",479.51,"","Scientific Literature","Bioorg. Med. Chem. Lett."
82,10193,CHEMBL552390,"Escherichia coli",200.0,ug.mL-1,"'>'",394.41,"","Scientific Literature","Bioorg. Med. Chem. Lett."
83,10194,CHEMBL2424893,"Escherichia coli",0.00025,ug.mL-1,"'='",478.58,"","Scientific Literature","J. Med. Chem."
84,10195,CHEMBL1652215,"Escherichia coli",500.0,ug.mL-1,"'='",406.89,"","Scientific Literature","Eur. J. Med. Chem."
85,10196,CHEMBL475242,"Escherichia coli",50.0,ug.mL-1,"'='",341.8,"","Scientific Literature","Eur. J. Med. Chem."
86,10197,CHEMBL492038,"Escherichia coli",50.0,ug.mL-1,"'='",268.27,"","Scientific Literature","Eur. J. Med. Chem."
87,10198,CHEMBL3091768,"Escherichia coli",800.0,ug.mL-1,"'='",399.47,"","Scientific Literature","Bioorg. Med. Chem. Lett."
88,10199,CHEMBL2424899,"Escherichia coli",0.001,ug.mL-1,"'='",481.58,"","Scientific Literature","J. Med. Chem."
89,10200,CHEMBL262777,"Escherichia coli",32.0,ug.mL-1,"'>'",1449.27,"","Scientific Literature","Bioorg. Med. Chem. Lett."
90,10178,CHEMBL3039597,"Escherichia coli",0.5,ug.mL-1,"'<'",1390.73,"","Scientific Literature","J. Med. Chem."
91,10201,CHEMBL3236860,"Escherichia coli",50.0,ug.mL-1,"'>'",384.27,"","Scientific Literature","Bioorg. Med. Chem."
92,10202,CHEMBL1222560,"Escherichia coli",28.0,ug.mL-1,"'='",388.43,"","Scientific Literature","Bioorg. Med. Chem. Lett."
93,10203,CHEMBL1222559,"Escherichia coli",19.6,ug.mL-1,"'='",338.37,"","Scientific Literature","Bioorg. Med. Chem. Lett."
94,10204,CHEMBL4471512,"Escherichia coli",0.125,ug.mL-1,"'='",390.46,"","Scientific Literature","J Med Chem"
95,10205,CHEMBL562726,"Escherichia coli",16.0,ug.mL-1,"'='",482.98,"","Scientific Literature","Antimicrob. Agents Chemother."
96,10206,CHEMBL3113220,"Escherichia coli",870.0,ug.mL-1,"'>'",311.34,"","Scientific Literature","Bioorg. Med. Chem. Lett."
97,10207,CHEMBL3113216,"Escherichia coli",700.0,ug.mL-1,"'>'",244.25,"","Scientific Literature","Bioorg. Med. Chem. Lett."
98,10208,CHEMBL2431739,"Escherichia coli",16.0,ug.mL-1,"'='",743.9,"","Scientific Literature","J. Med. Chem."
99,10209,CHEMBL4527436,"Escherichia coli",32.0,ug.mL-1,"'>'",606.21,"","Scientific Literature","Eur J Med Chem"
100,10210,CHEMBL573856,"Escherichia coli",32.0,ug.mL-1,"'='",242.28,"","Scientific Literature","Eur. J. Med. Chem."
101,10211,CHEMBL573615,"Escherichia coli",32.0,ug.mL-1,"'='",306.33,"","Scientific Literature","Eur. J. Med. Chem."
102,10212,CHEMBL572421,"Escherichia coli",32.0,ug.mL-1,"'='",310.74,"","Scientific Literature","Eur. J. Med. Chem."
103,10213,CHEMBL574074,"Escherichia coli",128.0,ug.mL-1,"'>'",310.74,"","Scientific Literature","Eur. J. Med. Chem."
104,10214,CHEMBL130,"Escherichia coli",6.25,ug.mL-1,"'='",323.13,"","Scientific Literature","Bioorg. Med. Chem. Lett."
105,10215,CHEMBL2417808,"Escherichia coli",1.9,ug.mL-1,"'<'",428.44,"","Scientific Literature","Eur. J. Med. Chem."
106,10216,CHEMBL2424879,"Escherichia coli",0.008,ug.mL-1,"'>'",487.49,"","Scientific Literature","J. Med. Chem."
107,10217,CHEMBL2431097,"Escherichia coli",50.0,ug.mL-1,"'>'",788.71,"","Scientific Literature","ACS Med. Chem. Lett."
108,10218,CHEMBL4590622,"Escherichia coli",512.0,ug.mL-1,"'>'",285.29,"","Scientific Literature","ACS Med Chem Lett"
109,10219,CHEMBL2260340,"Escherichia coli",128.0,ug.mL-1,"'='",833.0,"","Scientific Literature","Med Chem Res"
110,10220,CHEMBL4553977,"Escherichia coli",64.0,ug.mL-1,"'>'",711.9,"","Scientific Literature","Eur J Med Chem"
111,10221,CHEMBL3422978,"Escherichia coli",64.0,ug.mL-1,"'='",513.52,"","Scientific Literature","Bioorg. Med. Chem. Lett."
112,10222,CHEMBL3425929,"Escherichia coli",32.0,ug.mL-1,"'='",520.61,"","Scientific Literature","Bioorg. Med. Chem. Lett."
113,10223,CHEMBL3422972,"Escherichia coli",16.0,ug.mL-1,"'='",519.56,"","Scientific Literature","Bioorg. Med. Chem. Lett."
114,10224,CHEMBL4435513,"Escherichia coli",64.0,ug.mL-1,"'='",806.09,"","Scientific Literature","Eur J Med Chem"
115,10225,CHEMBL1170527,"Escherichia coli",128.0,ug.mL-1,"'='",500.01,"","Scientific Literature","Eur. J. Med. Chem."
116,10226,CHEMBL3310382,"Escherichia coli",1.56,ug.mL-1,"'='",348.28,"","Scientific Literature","Bioorg. Med. Chem. Lett."
117,10227,CHEMBL1242811,"Escherichia coli",128.0,ug.mL-1,"'='",396.36,"","Scientific Literature","Eur. J. Med. Chem."
118,10228,CHEMBL4444737,"Escherichia coli",8.0,ug.mL-1,"'>'",912.09,"","Scientific Literature","Eur J Med Chem"
119,10229,CHEMBL3126532,"Escherichia coli",50.0,ug.mL-1,"'='",297.38,"","Scientific Literature","Eur. J. Med. Chem."
120,10230,CHEMBL1082,"Escherichia coli",8.0,ug.mL-1,"'='",365.41,"","Scientific Literature","Antimicrob. Agents Chemother."
121,10231,CHEMBL3290516,"Escherichia coli",25.0,ug.mL-1,"'='",461.25,"","Scientific Literature","Eur. J. Med. Chem."
