id,comp_id,compound_name,species,ld50,units,source
1,1,"Diazene, diphenyl-, 1-oxide",Rat,2.505,log(kg/mol),https://doi.org/10.1021/tx900189p
2,2,"Methane, tribromo-",Rat,2.343,log(kg/mol),https://doi.org/10.1021/tx900189p
3,3,"Bromoethene (9CI)",Rat,2.33,log(kg/mol),https://doi.org/10.1021/tx900189p
4,4,"1,1'-Biphenyl, hexabromo-",Rat,1.465,log(kg/mol),https://doi.org/10.1021/tx900189p
5,5,"Isothiocyanic acid, p-bromophenyl ester",Rat,2.729,log(kg/mol),https://doi.org/10.1021/tx900189p
6,6,"2(3H)-Benzoxazolone, 6-bromo- (9CI)",Rat,2.33,log(kg/mol),https://doi.org/10.1021/tx900189p
7,7,"Benzene, bromo-",Rat,1.765,log(kg/mol),https://doi.org/10.1021/tx900189p
8,8,"2H-1,4-Benzodiazepin-2-one, 7-bromo-1,3-dihydro-5-(2-pyridinyl)-",Rat,2.21,log(kg/mol),https://doi.org/10.1021/tx900189p
9,9,"1H-Imidazole, 2,4,5-tribromo-",Rat,3.952,log(kg/mol),https://doi.org/10.1021/tx900189p
10,10,"Methane, dibromo-",Rat,3.207,log(kg/mol),https://doi.org/10.1021/tx900189p
11,11,"1-Propanol, 2,3-dibromo-, phosphate (3:1)",Rat,2.839,log(kg/mol),https://doi.org/10.1021/tx900189p
12,12,"2-Butene, 1,4-dibromo-",Rat,3.455,log(kg/mol),https://doi.org/10.1021/tx900189p
13,13,"Ethane, 1,2-dibromo-",Rat,3.24,log(kg/mol),https://doi.org/10.1021/tx900189p
14,14,"Piperazine, 1,4-bis(3-bromo-1-oxopropyl)-",Rat,3.209,log(kg/mol),https://doi.org/10.1021/tx900189p
15,15,"1,6-Heptadiyne",Rat,1.603,log(kg/mol),https://doi.org/10.1021/tx900189p
16,16,"2-Propynyl ether",Rat,2.242,log(kg/mol),https://doi.org/10.1021/tx900189p
17,17,"Ether, bis(3,4-epoxybutyl)",Rat,2.17,log(kg/mol),https://doi.org/10.1021/tx900189p
18,18,"Oxirane, 2,2'-(1,4-butanediyl)bis- (9CI)",Rat,2.124,log(kg/mol),https://doi.org/10.1021/tx900189p
19,19,"Benzene, 1,1'-(oxybis(methylene))bis-",Rat,1.899,log(kg/mol),https://doi.org/10.1021/tx900189p
20,20,"Oxirane, 2,2'-(oxybis(methylene))bis-",Rat,2.461,log(kg/mol),https://doi.org/10.1021/tx900189p
21,21,"Phosphoric acid, tris(trimethylsilyl) ester",Rat,1.961,log(kg/mol),https://doi.org/10.1021/tx900189p
22,22,"Butanenitrile, 4-(dichloromethylsilyl)-",Rat,1.809,log(kg/mol),https://doi.org/10.1021/tx900189p
23,23,"Succinimide, 2-methylene-N-(m-nitrophenyl)-",Rat,1.968,log(kg/mol),https://doi.org/10.1021/tx900189p
24,24,"2-Oxetanone, 4-methylene-",Rat,2.176,log(kg/mol),https://doi.org/10.1021/tx900189p
25,25,2-Propenenitrile,Rat,2.833,log(kg/mol),https://doi.org/10.1021/tx900189p
26,26,"2-Propenamide, N,N'-methylenebis-",Rat,2.597,log(kg/mol),https://doi.org/10.1021/tx900189p
27,27,"Acrylic acid, 2-norbornyl ester",Rat,1.468,log(kg/mol),https://doi.org/10.1021/tx900189p
28,28,"2-Propenoic acid, oxiranylmethyl ester",Rat,2.785,log(kg/mol),https://doi.org/10.1021/tx900189p
29,29,"Acrylic acid, ester with hydracrylonitrile",Rat,2.842,log(kg/mol),https://doi.org/10.1021/tx900189p
30,30,"2-Propenoic acid, 1,2-ethanediyl ester",Rat,2.754,log(kg/mol),https://doi.org/10.1021/tx900189p
31,31,"2-Propenoic acid, 2-phenoxyethyl ester",Rat,1.569,log(kg/mol),https://doi.org/10.1021/tx900189p
32,32,"Acrylic acid, 2-(2-cyanoethoxy)ethyl ester",Rat,2.179,log(kg/mol),https://doi.org/10.1021/tx900189p
33,33,"2-Propenoic acid, oxydi-2,1-ethanediyl ester",Rat,2.729,log(kg/mol),https://doi.org/10.1021/tx900189p
34,34,"1,3-Butadiene",Rat,0.994,log(kg/mol),https://doi.org/10.1021/tx900189p
35,35,"Hexa-1,3,5-triene, mixed isomers",Rat,2.582,log(kg/mol),https://doi.org/10.1021/tx900189p
36,36,"2-Propenal, phenylhydrazone (9CI)",Rat,2.32,log(kg/mol),https://doi.org/10.1021/tx900189p
37,37,Acrylaldehyde,Rat,3.086,log(kg/mol),https://doi.org/10.1021/tx900189p
38,38,"Benzene, ethenyl-",Rat,1.319,log(kg/mol),https://doi.org/10.1021/tx900189p
39,39,"Pyridine, 2-ethenyl-",Rat,3.022,log(kg/mol),https://doi.org/10.1021/tx900189p
40,40,"Pyridine, 4-ethenyl-",Rat,3.022,log(kg/mol),https://doi.org/10.1021/tx900189p
41,41,"Bicyclo(2.2.1)hept-2-ene, 5-ethenyl-",Rat,1.44,log(kg/mol),https://doi.org/10.1021/tx900189p
42,42,"2H-Pyran, 2,5-diethenyltetrahydro- (9CI)",Rat,1.75,log(kg/mol),https://doi.org/10.1021/tx900189p
43,43,"Cyclohexene, 4-vinyl- (8CI)",Rat,1.625,log(kg/mol),https://doi.org/10.1021/tx900189p
44,44,"7-Oxabicyclo(4.1.0)heptane, 3-ethenyl-",Rat,1.793,log(kg/mol),https://doi.org/10.1021/tx900189p
45,45,"2,4,8,10-Tetraoxaspiro(5,5)undecane, 3,9-diethenyl- (9CI)",Rat,1.718,log(kg/mol),https://doi.org/10.1021/tx900189p
46,46,3-Butenenitrile,Rat,2.766,log(kg/mol),https://doi.org/10.1021/tx900189p
47,47,"Benzene, 4-allyl-1,2-(methylenedioxy)-",Rat,1.92,log(kg/mol),https://doi.org/10.1021/tx900189p
48,48,"Ether, 2,6-diallylphenyl 2,3-epoxypropyl",Rat,1.71,log(kg/mol),https://doi.org/10.1021/tx900189p
49,49,"3-Allyl(dihydro)furan-2,5-dione",Rat,2.117,log(kg/mol),https://doi.org/10.1021/tx900189p
50,50,4-Pentenal,Rat,2.132,log(kg/mol),https://doi.org/10.1021/tx900189p
51,51,"2-Propen-1-amine, N,N-di-2-propenyl-",Rat,2.125,log(kg/mol),https://doi.org/10.1021/tx900189p
52,52,"2-Propen-1-amine, N-nitroso-N-2-propenyl- (9CI)",Rat,2.198,log(kg/mol),https://doi.org/10.1021/tx900189p
53,53,"Isothiocyanic acid, allyl ester",Rat,2.947,log(kg/mol),https://doi.org/10.1021/tx900189p
54,54,"2-Propen-1-amine, N-2-propenyl-",Rat,2.226,log(kg/mol),https://doi.org/10.1021/tx900189p
55,55,"2-Butenedioic acid (Z)-, di-2-propenyl ester (9CI)",Rat,2.816,log(kg/mol),https://doi.org/10.1021/tx900189p
56,56,"1,2-Benzenedicarboxylic acid, di-2-propenyl ester",Rat,2.505,log(kg/mol),https://doi.org/10.1021/tx900189p
57,57,"Benzeneacetic acid, 2-propenyl ester",Rat,2.433,log(kg/mol),https://doi.org/10.1021/tx900189p
58,58,"Cyclohexaneacetic acid, 2-propenyl ester",Rat,2.306,log(kg/mol),https://doi.org/10.1021/tx900189p
59,59,"Cyclohexanepropanoic acid, 2-propenyl ester",Rat,2.526,log(kg/mol),https://doi.org/10.1021/tx900189p
60,60,"1-Propene, 3,3',3'',3'''-(1,2-ethanediylidenetetrakis(oxy))tetrakis- (9CI)",Rat,2.256,log(kg/mol),https://doi.org/10.1021/tx900189p
61,61,"1-Propene, 3-(ethenyloxy)- (9CI)",Rat,2.185,log(kg/mol),https://doi.org/10.1021/tx900189p
62,62,"Formic acid, allyl ester (8CI)",Rat,2.842,log(kg/mol),https://doi.org/10.1021/tx900189p
63,63,"Benzamide, o-allyloxy-N-cyclohexyl-",Rat,2.335,log(kg/mol),https://doi.org/10.1021/tx900189p
64,64,"Bicyclo(2.2.1)heptan-2,5-diol, diallyl ether",Rat,1.747,log(kg/mol),https://doi.org/10.1021/tx900189p
65,65,"1-Propene, 3,3'-oxybis-",Rat,2.487,log(kg/mol),https://doi.org/10.1021/tx900189p
66,66,"Propanenitrile, 3-(2-propenyloxy)- (9CI)",Rat,1.932,log(kg/mol),https://doi.org/10.1021/tx900189p
67,67,"Aziridine, 1-ethenyl- (9CI)",Rat,2.895,log(kg/mol),https://doi.org/10.1021/tx900189p
68,68,"1-Ethenyl-2-pyrrolidinone (9CI)",Rat,1.879,log(kg/mol),https://doi.org/10.1021/tx900189p
69,69,"Benzoic acid, ethenyl ester (9CI)",Rat,1.659,log(kg/mol),https://doi.org/10.1021/tx900189p
70,70,"Formic acid, ethenyl ester",Rat,1.407,log(kg/mol),https://doi.org/10.1021/tx900189p
71,71,"Ethene, 1,1'-(oxybis(2,1-ethanediyloxy))bis-",Rat,1.627,log(kg/mol),https://doi.org/10.1021/tx900189p
72,72,"Ethene, 1,1'-sulfonylbis-",Rat,3.567,log(kg/mol),https://doi.org/10.1021/tx900189p
73,73,Formaldehyde,Rat,1.574,log(kg/mol),https://doi.org/10.1021/tx900189p
74,74,"4,4'-Bipyridine",Rat,2.958,log(kg/mol),https://doi.org/10.1021/tx900189p
75,75,"1H-Imidazole, 1-((1,1'-biphenyl)-4-ylphenylmethyl)-, (+-)-",Rat,2.327,log(kg/mol),https://doi.org/10.1021/tx900189p
76,76,"1,1'-Biphenyl",Rat,1.808,log(kg/mol),https://doi.org/10.1021/tx900189p
77,77,"Diazene, diphenyl-",Rat,2.261,log(kg/mol),https://doi.org/10.1021/tx900189p
78,78,"Phosphine, triphenyl-",Rat,2.574,log(kg/mol),https://doi.org/10.1021/tx900189p
79,79,"2,2'-Bipyridine",Rat,3.194,log(kg/mol),https://doi.org/10.1021/tx900189p
80,80,Isoquinoline,Rat,2.555,log(kg/mol),https://doi.org/10.1021/tx900189p
81,81,"Benzene, pure",Rat,1.373,log(kg/mol),https://doi.org/10.1021/tx900189p
82,82,Pyridine,Rat,1.948,log(kg/mol),https://doi.org/10.1021/tx900189p
83,83,Fluoranthene,Rat,2.005,log(kg/mol),https://doi.org/10.1021/tx900189p
84,84,Quinoline,Rat,2.591,log(kg/mol),https://doi.org/10.1021/tx900189p
85,85,Pyrene,Rat,1.875,log(kg/mol),https://doi.org/10.1021/tx900189p
86,86,"Naphthalene, pure",Rat,2.418,log(kg/mol),https://doi.org/10.1021/tx900189p
87,87,"1,3,5-Cycloheptatriene",Rat,3.209,log(kg/mol),https://doi.org/10.1021/tx900189p
88,88,"4,7-Methano-1H-indene, 3a,4,7,7a-tetrahydro-",Rat,2.573,log(kg/mol),https://doi.org/10.1021/tx900189p
89,89,"1H-Indene, 3a,4,7,7a-tetrahydro-",Rat,1.508,log(kg/mol),https://doi.org/10.1021/tx900189p
