,species,smiles,MIC,units,censoring,molecular_weight,assay_parameters,source,source_journal
0,Escherichia coli,C[C@@](CCN1Cc2cc(C#CC#CCOC(=O)N3CCC(O)CC3)cn2C1=O)(C(=O)NO)S(C)(=O)=O,-0.6931471805599453,log(ug/mL),'=',520.56,,Scientific Literature,J Med Chem
1,Escherichia coli,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](Cn3cc(-c4ccccc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,3.4657359027997265,log(ug/mL),'=',862.12,,Scientific Literature,Eur J Med Chem
2,Escherichia coli,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](COCc3cn(-c4ccc(OC(F)(F)F)cc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,4.1588830833596715,log(ug/mL),'=',976.14,,Scientific Literature,Eur J Med Chem
3,Escherichia coli,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@@H](COCc3cn(-c4ccc(OC(F)(F)F)cc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,4.852030263919617,log(ug/mL),'=',976.14,,Scientific Literature,Eur J Med Chem
4,Escherichia coli,C[C@]1(CO)C[C@@H]1C#CC#Cc1cc2n(c1)C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)C2,-1.3862943611198906,log(ug/mL),'=',447.51,,Scientific Literature,J Med Chem
5,Escherichia coli,CC(C)(O)c1ccc(C#Cc2cc3c(s2)C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)C3)cc1,-2.120263536200091,log(ug/mL),'=',490.60,,Scientific Literature,J Med Chem
6,Escherichia coli,N=C(N)NCCc1ccc(OCc2cc(COc3ccc(CCNC(=N)N)cc3)cc(COc3ccc(CCNC(=N)N)cc3)c2)cc1.O=C(O)C(F)(F)F,0.0,log(ug/mL),'<',765.84,,Scientific Literature,Bioorg. Med. Chem. Lett.
7,Escherichia coli,CC(=O)c1cccc(N[C@H]2[C@H](N)[C@@](NC(=O)N3CCCC3)([C@H](C)O)[C@@](C)(O)[C@@]2(O)CO)c1,4.1588830833596715,log(ug/mL),'=',450.54,,Scientific Literature,Bioorg. Med. Chem.
8,Escherichia coli,NC(=O)c1c(F)ccc(OCc2nn(-c3ccc(Br)cc3)c(=O)[nH]2)c1F,4.1588830833596715,log(ug/mL),'>',425.19,,Scientific Literature,Bioorg Med Chem
9,Escherichia coli,O=C(CSc1nnc(-c2cccc([N+](=O)[O-])c2)o1)Nc1ccc(C(=O)/C=C\c2cc3ccccc3cc2O)cc1,4.135166556742356,log(ug/mL),'=',552.57,,Scientific Literature,Med Chem Res
