id,comp_id,species,daphnia_ec50,fish_lc50,algea_ec50,units,source
1,7343,"daphnia, fish",0.33,0.15,"",mg/L,"NITE, VEGA, Literature set"
2,2,"daphnia, fish",45.9871052404145,23.5,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
3,7344,fish,"",0.55,"",mg/L,"ECOTOX, Literature set"
4,7345,fish,"",0.437,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
5,7346,"alga, daphnia, fish",1.3,1.3,0.415,mg/L,"NITE, Literature set"
6,7347,"daphnia, fish",21.0,12.0,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
7,7348,"daphnia, fish",12.3822560418569,12.4,"",mg/L,"ECOTOX, OASIS, VEGA, Literature set"
8,4439,"alga, daphnia",6.1,"",50.4,mg/L,ECHA
9,7349,fish,"",0.1195,"",mg/L,ECOTOX
10,7350,"daphnia, fish",1.134,2.90016400825327,"",mg/L,"VEGA, Literature set"
11,7351,"alga, daphnia, fish",4.2,1.45,2.4,mg/L,"NITE, ECOTOX, OASIS, Literature set"
12,7352,fish,"",205.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
13,12,daphnia,10.0,"","",mg/L,ECHA
14,7353,alga,"","",18.92,mg/L,"Literature set"
15,13,"alga, daphnia, fish",11.61,1.86,25.94,mg/L,"ECHA, ECOTOX"
16,7354,"alga, daphnia, fish",8.8,2.11391840057142,35.0,mg/L,"NITE, VEGA, Literature set"
17,7355,daphnia,28.9,"","",mg/L,ECHA
18,7356,"alga, daphnia",1.2,"",6.555,mg/L,"Literature set"
19,7357,alga,"","",3.78,mg/L,"Literature set"
20,7358,"daphnia, fish",3.8,6.2,"",mg/L,"NITE, Literature set"
21,7359,fish,"",1410.0,"",mg/L,ECOTOX
22,7360,"alga, daphnia",3.96,"",0.012,mg/L,"Literature set, ECOTOX"
23,7361,fish,"",6.8,"",mg/L,ECHA
24,7362,fish,"",1.226637152,"",mg/L,"ECOTOX, Literature set"
25,7363,daphnia,2.5,"","",mg/L,ECHA
26,7364,daphnia,0.01112,"","",mg/L,ECOTOX
27,7365,daphnia,0.00261,"","",mg/L,ECOTOX
28,7366,alga,"","",0.24,mg/L,"Literature set"
29,7367,daphnia,0.00789,"","",mg/L,ECOTOX
30,7368,daphnia,0.11071,"","",mg/L,ECOTOX
31,7369,"alga, daphnia, fish",0.17,0.67,0.295,mg/L,"VEGA, Literature set"
32,7370,fish,"",20.4,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
33,7371,fish,"",3.915,"",mg/L,"Literature set"
34,7,"alga, fish","",4.3,12.0,mg/L,"NITE, VEGA, Literature set"
35,7372,alga,"","",0.106,mg/L,ECHA
36,7373,fish,"",4.05,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
37,7374,fish,"",6.19,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
38,7375,"alga, daphnia",6.42,"",21.8,mg/L,ECHA
39,9,fish,"",6.75544193853555,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
40,7376,fish,"",296.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
41,7377,fish,"",0.12,"",mg/L,"ECOTOX(76), OASIS, ECOTOX-EPA(70), ECHA"
42,7378,fish,"",354.0,"",mg/L,"ECOTOX, OASIS, EPAFHM, Literature set"
43,7379,"daphnia, fish",18.0,5.4,"",mg/L,ECHA
44,7380,"alga, daphnia",28.0,"",22.0,mg/L,ECHA
45,18,fish,"",6.65078023123906,"",mg/L,OASIS
46,7381,"alga, daphnia",2.28,"",5.31,mg/L,ECHA
47,3560,"alga, fish","",33.5,93.058,mg/L,"VEGA, Literature set, NITE, ECHA"
48,7382,"daphnia, fish",5.1,4.8,"",mg/L,ECHA
49,7383,"alga, daphnia",0.81,"",1.8,mg/L,ECHA
50,7384,"alga, daphnia",0.39,"",8.2,mg/L,ECHA
