,chemical_formula,smiles,casnum,molecular_weight,species,algea_EC50,units,source
0,C10H10Br2O2,BrC(Br)c1ccccc1OCC1CO1,30171-80-3,321.9931945800781,algea,-0.8794767587514388,log(mg/L),"NITE, Literature set"
1,C8H7Br,BrC=Cc1ccccc1,103-64-0,183.0451812744141,algea,3.919991175077323,log(mg/L),ECHA
2,C9H15Br6O4P,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,126-72-7,697.6107788085938,algea,0.8754687373538999,log(mg/L),"NITE, ECOTOX, OASIS, Literature set"
3,C9H9Br,BrCC=Cc1ccccc1,4392-24-9,197.0717620849609,algea,2.9402195636237325,log(mg/L),Literature set
4,C2H4Br2,BrCCBr,106-93-4,187.8611602783203,algea,3.255786178888298,log(mg/L),"ECHA, ECOTOX"
5,C3H6Br2,BrCCCBr,109-64-8,201.8877410888672,algea,3.5553480614894135,log(mg/L),"NITE, VEGA, Literature set"
6,C6H12Br2,BrCCCCCCBr,629-03-8,243.9674835205078,algea,1.8802281172156632,log(mg/L),Literature set
7,C8H16Br2,BrCCCCCCCCBr,4549-32-0,272.0206298828125,algea,1.3297240096314962,log(mg/L),Literature set
8,C12H2Br8O,Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,32536-52-0,801.3756713867188,algea,-4.422848629194137,log(mg/L),"Literature set, ECOTOX"
9,C12H8Br2O,Brc1ccc(Oc2ccc(Br)cc2)cc1,2050-47-7,327.99932861328125,algea,-1.4271163556401458,log(mg/L),Literature set
10,C12H9BrO,Brc1ccc(Oc2ccccc2)cc1,101-55-3,249.1032562255859,algea,-1.2207799226423173,log(mg/L),"VEGA, Literature set"
11,C6H5Br,Brc1ccccc1,108-86-1,157.00790405273438,algea,2.4849066497880004,log(mg/L),"NITE, VEGA, Literature set"
12,C12H8Br2,Brc1ccccc1-c1ccccc1Br,13029-09-9,311.9999084472656,algea,-2.24431618487007,log(mg/L),ECHA
13,C7H5BrN2,Brc1cnc2[nH]ccc2c1,183208-35-7,197.0319976806641,algea,3.0819099697950434,log(mg/L),ECHA
14,C13H26N2,C(CC1CCNCC1)CC1CCNCC1,16898-52-5,210.35894775390625,algea,3.091042453358316,log(mg/L),ECHA
15,C24H28N2,C(=Cc1ccccc1)C=NCCCCCCN=CC=Cc1ccccc1,140-73-8,344.4925231933594,algea,1.6695918352538475,log(mg/L),ECHA
16,C10H18O4,C(CCOCC1CO1)COCC1CO1,002425-79-8,202.24752807617188,algea,4.533222954674703,log(mg/L),"VEGA, Literature set, NITE, ECHA"
