,chemical_formula,smiles,casnum,molecular_weight,species,daphnia_EC50,units,source
0,C8H7Br,C=C(Br)c1ccccc1,98-81-7,183.0451812744141,daphnia,-1.1086626245216111,log(mg/L),"NITE, VEGA, Literature set"
1,CHBr3,BrC(Br)Br,75252,252.7306365966797,daphnia,3.828361036331304,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
2,C10H10Br2O2,BrC(Br)c1ccccc1OCC1CO1,30171-80-3,321.9931945800781,daphnia,0.262364264467491,log(mg/L),"NITE, Literature set"
3,C6H11Br,BrC1CCCCC1,108850,163.0555419921875,daphnia,3.044522437723423,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
4,C2HBr3,BrC=C(Br)Br,598163,264.7413330078125,daphnia,2.516264483437345,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
5,C8H7Br,BrC=Cc1ccccc1,103-64-0,183.0451812744141,daphnia,1.8082887711792652,log(mg/L),ECHA
6,C6H6Br2N2,N#CCCC(Br)(C#N)CBr,35691-65-7,265.9332275390625,daphnia,0.1257512053055604,log(mg/L),"VEGA, Literature set"
7,C9H15Br6O4P,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,126-72-7,697.6107788085938,daphnia,1.4350845252893227,log(mg/L),"NITE, ECOTOX, OASIS, Literature set"
8,C4H6Br2,BrCC=CCBr,821-06-7,213.8984375,daphnia,2.302585092994046,log(mg/L),ECHA
9,C2H4Br2,BrCCBr,106-93-4,187.8611602783203,daphnia,2.4518667957098,log(mg/L),"ECHA, ECOTOX"
10,C3H6Br2,BrCCCBr,109-64-8,201.8877410888672,daphnia,2.174751721484161,log(mg/L),"NITE, VEGA, Literature set"
11,C4H8Br2,BrCCCCBr,110-52-1,215.9143218994141,daphnia,3.3638415951183864,log(mg/L),ECHA
12,C6H12Br2,BrCCCCCCBr,629-03-8,243.9674835205078,daphnia,0.1823215567939546,log(mg/L),Literature set
13,C12H12BrNO2,O=C1c2ccccc2C(=O)N1CCCCBr,5394-18-3,282.1331787109375,daphnia,1.33500106673234,log(mg/L),"NITE, Literature set"
14,C12H2Br8O,Brc1cc(Oc2cc(Br)c(Br)c(Br)c2Br)c(Br)c(Br)c1Br,32536-52-0,801.3756713867188,daphnia,1.3762440252663892,log(mg/L),"Literature set, ECOTOX"
15,C9H8Br2O2,Brc1ccc(OCC2CO2)c(Br)c1,20217-01-0,307.96661376953125,daphnia,0.9162907318741552,log(mg/L),ECHA
16,C12H5Br5O,Brc1ccc(Oc2c(Br)cc(Br)cc2Br)c(Br)c1,189084648,564.6875,daphnia,-4.499009990159701,log(mg/L),ECOTOX
17,C12H5Br5O,Brc1ccc(Oc2cc(Br)c(Br)cc2Br)c(Br)c1,60348609,564.6875,daphnia,-5.948405057647535,log(mg/L),ECOTOX
18,C12H6Br4O,Brc1ccc(Oc2ccc(Br)cc2Br)c(Br)c1,5436431,485.79144287109375,daphnia,-4.842159144124354,log(mg/L),ECOTOX
19,C12H7Br3O,Brc1ccc(Oc2ccc(Br)cc2Br)cc1,41318756,406.8953857421875,daphnia,-2.200841109110762,log(mg/L),ECOTOX
20,C12H9BrO,Brc1ccc(Oc2ccccc2)cc1,101-55-3,249.1032562255859,daphnia,-1.7719568419318752,log(mg/L),"VEGA, Literature set"
21,C7H5BrN2,Brc1cnc2[nH]ccc2c1,183208-35-7,197.0319976806641,daphnia,1.8594181177018696,log(mg/L),ECHA
22,C12H15NO2,c1ccc(N(CC2CO2)CC2CO2)cc1,2095-06-9,205.2530059814453,daphnia,2.8903717578961645,log(mg/L),ECHA
23,C13H26N2,C(CC1CCNCC1)CC1CCNCC1,16898-52-5,210.35894775390625,daphnia,3.332204510175204,log(mg/L),ECHA
24,C24H28N2,C(=Cc1ccccc1)C=NCCCCCCN=CC=Cc1ccccc1,140-73-8,344.4925231933594,daphnia,0.8241754429663494,log(mg/L),ECHA
25,C17H22N2O,c1ccc2c(NCCCN3CCOCC3)cccc2c1,5235-82-5,270.369384765625,daphnia,1.62924053973028,log(mg/L),ECHA
26,C14H15N,c1ccc(CCCc2ccncc2)cc1,2057-49-0,197.27560424804688,daphnia,-0.2107210313156525,log(mg/L),ECHA
27,C14H20O,c1ccc(CCOC2CCCCC2)cc1,80858-47-5,204.30799865722656,daphnia,-0.941608539858445,log(mg/L),ECHA
28,C18H22N2,c1ccc(CN2CCC(Nc3ccccc3)CC2)cc1,1155-56-2,266.38067626953125,daphnia,1.589235205116581,log(mg/L),ECHA
29,C12H19N5,c1ccc(CNC2NCNC3NCNC32)cc1,1214-39-7,233.3127593994141,daphnia,2.5952547069568657,log(mg/L),"EFSA, ECOTOX"
30,C14H15N,c1ccc(CNCc2ccccc2)cc1,103-49-1,197.27560424804688,daphnia,2.272125885509337,log(mg/L),ECHA
31,C12H11N5,c1ccc(CNc2ncnc3nc[nH]c23)cc1,1214-39-7,225.24923706054688,daphnia,2.35479796444098,log(mg/L),Literature set
32,C10H9N5O,c1coc(CNc2ncnc3nc[nH]c23)c1,525791,215.2113647460937,daphnia,-0.4462871026284195,log(mg/L),ECOTOX
33,C18H20O2,C(=CCOCc1ccccc1)COCc1ccccc1,68972-96-3,268.3502197265625,daphnia,0.3364722366212129,log(mg/L),"NITE, Literature set"
34,C14H14O,c1ccc(COCc2ccccc2)cc1,103-50-4,198.2603607177734,daphnia,-0.2613647641344075,log(mg/L),"NITE, VEGA, Literature set"
35,C25H22P,c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,1100-88-5,353.4159545898437,daphnia,0.0,log(mg/L),ECHA
36,C7H8,C1=CC2C=CC1C2,121-46-0,92.13842010498048,daphnia,2.7568403652716422,log(mg/L),ECHA
37,C9H12,C1=CCC2CC=CC2C1,3048-65-5,120.19158172607422,daphnia,-0.3147107448397002,log(mg/L),"NITE, VEGA, Literature set"
38,C9H8,C1=Cc2ccccc2C1,95-13-6,116.15982055664062,daphnia,0.7884573603642703,log(mg/L),ECHA
39,C9H18N2O,C1CC(N2CCOCC2)CCN1,53617-35-9,170.2520294189453,daphnia,4.330733340286331,log(mg/L),ECHA
40,C7H10,C1=CC2CCC1C2,498-66-8,94.15430450439452,daphnia,1.9878743481543453,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
41,C18H22,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,61788-32-7,238.3672790527344,daphnia,-0.6539264674066639,log(mg/L),"ECHA, Literature set"
42,C8H12,C1=CCCC=CCC1,111-78-4,108.1808853149414,daphnia,-0.1392620673335076,log(mg/L),"NITE, VEGA, Literature set"
43,C19H26N2S2,c1ccc2sc(SN(C3CCCCC3)C3CCCCC3)nc2c1,4979-32-2,346.5531311035156,daphnia,-0.342490308946776,log(mg/L),ECHA
44,C12H23N,C1CCC(NC2CCCCC2)CC1,101-83-7,181.31771850585935,daphnia,2.079441541679836,log(mg/L),"ECHA, NITE, Literature set"
45,C13H16N2S2,c1ccc2sc(SNC3CCCCC3)nc2c1,95-33-0,264.4095458984375,daphnia,-0.2357223335210698,log(mg/L),"ECHA, NITE, VEGA, Literature set"
46,C6H10,C1=CCCCC1,110-83-8,82.14360046386719,daphnia,0.7419373447293773,log(mg/L),"ECHA, ECOTOX, NITE, OASIS, Literature set"
47,C5H10,C1CCCC1,287-92-3,70.13290405273439,daphnia,2.385248181647332,log(mg/L),"OASIS, Literature set"
48,C8H14O,C1CCCC2OC2CC1,000286-62-4,126.19615936279295,daphnia,3.1780538303479458,log(mg/L),"VEGA, Literature set"
49,C6H12,C1CCCCC1,110-82-7,84.15948486328125,daphnia,-0.1053605156578262,log(mg/L),"ECHA, OASIS, ECOTOX, EPAFHM, VEGA, Literature set"
50,C4H9N,C1CCNC1,123-75-1,71.12096405029297,daphnia,4.143134726391533,log(mg/L),ECHA
51,C5H11N,C1CCNCC1,110-89-4,85.14753723144531,daphnia,2.9444389791664403,log(mg/L),ECHA
52,C4H8S,C1CCSC1,110-01-0,88.17131805419922,daphnia,3.1780538303479458,log(mg/L),ECHA
53,C6H9N3,C1CCc2[nH]nnc2C1,6789-99-7,123.15576171875,daphnia,5.327487743847817,log(mg/L),ECHA
54,C10H12,c1ccc2c(c1)CCCC2,119-64-2,132.20228576660156,daphnia,2.2512917986064958,log(mg/L),"ECHA, NITE, Literature set"
55,C9H11N,c1cnc2c(c1)CCCC2,10500-57-9,133.19033813476562,daphnia,2.3978952727983707,log(mg/L),"NITE, VEGA, Literature set"
56,C17H20N2,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,841-77-0,252.3541107177734,daphnia,2.091864061678393,log(mg/L),ECHA
57,C9H10N2,c1ccc(C2=NCCN2)cc1,936-49-2,146.18910217285156,daphnia,3.258096538021482,log(mg/L),ECHA
58,C7H13N3,C1CN=C2NCCCN2C1,5807-14-7,139.19822692871094,daphnia,2.8903717578961645,log(mg/L),ECHA
