,chemical_formula,smiles,casnum,molecular_weight,species,fish_LC50,units,source
0,C8H7Br,C=C(Br)c1ccccc1,98-81-7,183.0451812744141,fish,-1.8971199848858813,log(mg/L),"NITE, VEGA, Literature set"
1,CHBr3,BrC(Br)Br,75252,252.7306365966797,fish,3.1570004211501135,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
2,C2HBr2N,N#CC(Br)Br,3252-43-5,198.8440399169922,fish,-0.5978370007556204,log(mg/L),"ECOTOX, Literature set"
3,C8H6Br4,BrC(Br)c1ccccc1C(Br)Br,13209-15-9,421.7492370605469,fish,-0.8278220838865468,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
4,C10H10Br2O2,BrC(Br)c1ccccc1OCC1CO1,30171-80-3,321.9931945800781,fish,0.26236426446749106,log(mg/L),"NITE, Literature set"
5,C6H11Br,BrC1CCCCC1,108850,163.0555419921875,fish,2.4849066497880004,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
6,C2HBr3,BrC=C(Br)Br,598163,264.7413330078125,fish,2.517696472610991,log(mg/L),"ECOTOX, OASIS, VEGA, Literature set"
7,C9H9BrO2,O=C(CBr)OCc1ccccc1,5437-45-6,229.070556640625,fish,-2.1244389076105716,log(mg/L),ECOTOX
8,C6H6Br2N2,N#CCCC(Br)(C#N)CBr,35691-65-7,265.9332275390625,fish,1.064767289963372,log(mg/L),"VEGA, Literature set"
9,C9H15Br6O4P,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,126-72-7,697.6107788085938,fish,0.371563556432483,log(mg/L),"NITE, ECOTOX, OASIS, Literature set"
10,C6H11BrO,BrCC1CCCCO1,34723-82-5,179.05494689941406,fish,5.3230099791384085,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
11,C2H4Br2,BrCCBr,106-93-4,187.8611602783203,fish,0.62057648772511,log(mg/L),"ECHA, ECOTOX"
12,C3H6Br2,BrCCCBr,109-64-8,201.8877410888672,fish,0.748543287162582,log(mg/L),"NITE, VEGA, Literature set"
13,C12H12BrNO2,O=C1c2ccccc2C(=O)N1CCCCBr,5394-18-3,282.1331787109375,fish,1.824549292051046,log(mg/L),"NITE, Literature set"
14,C14H8Br6O2,Brc1cc(Br)c(OCCOc2c(Br)cc(Br)cc2Br)c(Br)c1,37853-59-1,687.6361083984375,fish,7.251344983372214,log(mg/L),ECOTOX
15,C8H6Br2,C=Cc1cc(Br)ccc1Br,125904-11-2,261.94125366210943,fish,1.9169226121820613,log(mg/L),ECHA
16,C6H4Br2,Brc1ccc(Br)cc1,106-37-6,235.9039611816406,fish,0.20427640235369737,log(mg/L),"ECOTOX, Literature set"
17,C12H9BrO,Brc1ccc(Oc2ccccc2)cc1,101-55-3,249.1032562255859,fish,-0.40047756659712525,log(mg/L),"VEGA, Literature set"
18,C12H8BrNO,O=C(c1ccc(Br)cc1)c1cccnc1,14548-45-9,262.10202026367193,fish,3.0155349008501706,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
19,C6H4Br2,Brc1cccc(Br)c1,108361,235.90396118164062,fish,1.3648153294427665,log(mg/L),Literature set
20,C6H5Br,Brc1ccccc1,108-86-1,157.00790405273438,fish,1.4586150226995167,log(mg/L),"NITE, VEGA, Literature set"
21,C6H4Br2,Brc1ccccc1Br,583-53-9,235.9039611816406,fish,1.3987168811184478,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
22,C4H3BrS,Brc1ccsc1,872-31-1,163.03561401367188,fish,1.8229350866965048,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
23,C3HBr3N2,Brc1nc(Br)c(Br)[nH]1,2034-22-2,304.76544189453125,fish,1.9103483931855907,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
24,C9H9N,C#CCN(CC#C)CC#C,6921-29-5,131.17446899414062,fish,5.69035945432406,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
25,CHN,C#N,74-90-8,27.025339126586914,fish,-2.120263536200091,log(mg/L),"ECOTOX(76), OASIS, ECOTOX-EPA(70), ECHA"
26,C10H12N2,c1ccc(CC2=NCCN2)cc1,59-97-2,160.21568298339844,fish,5.869296913133774,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set"
27,C12H15NO2,c1ccc(N(CC2CO2)CC2CO2)cc1,2095-06-9,205.2530059814453,fish,1.6863989535702288,log(mg/L),ECHA
28,C8H14O2,C(CCC1CO1)CC1CO1,2426-07-5,142.195556640625,fish,1.8947341757912444,log(mg/L),OASIS
29,C10H18O4,C(CCOCC1CO1)COCC1CO1,002425-79-8,202.24752807617188,fish,3.5115454388310208,log(mg/L),"VEGA, Literature set, NITE, ECHA"
30,C17H22N2O,c1ccc2c(NCCCN3CCOCC3)cccc2c1,5235-82-5,270.369384765625,fish,1.5686159179138452,log(mg/L),ECHA
31,C12H12N2,c1cc(CCc2ccncc2)ccn1,4916-57-8,184.2370758056641,fish,5.017279836814924,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
32,C12H19N5,c1ccc(CNC2NCNC3NCNC32)cc1,1214-39-7,233.3127593994141,fish,3.0633909220278057,log(mg/L),"EFSA, ECOTOX"
33,C14H15N,c1ccc(CNCc2ccccc2)cc1,103-49-1,197.27560424804688,fish,3.0633909220278057,log(mg/L),ECHA
34,C17H19N5O,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,2312-73-4,309.36566162109375,fish,1.33500106673234,log(mg/L),ECOTOX
35,C18H20O2,C(=CCOCc1ccccc1)COCc1ccccc1,68972-96-3,268.3502197265625,fish,1.5260563034950492,log(mg/L),"NITE, Literature set"
36,C14H14O,c1ccc(COCc2ccccc2)cc1,103-50-4,198.2603607177734,fish,1.916922612182061,log(mg/L),"NITE, VEGA, Literature set"
37,C10H16,C1C2CC3CC1CC(C2)C3,281-23-2,136.23403930664062,fish,-1.2724571084098149,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
38,C9H12,C1=CCC2CC=CC2C1,3048-65-5,120.19158172607422,fish,1.4816045409242156,log(mg/L),"NITE, VEGA, Literature set"
39,C7H10,C1=CC2CCC1C2,498-66-8,94.15430450439452,fish,2.302585092994046,log(mg/L),"ECHA, ECOTOX, OASIS, EPAFHM, Literature set, VEGA"
40,C10H18,C1CCC2CCCC2CC1,275-51-4,138.24992370605472,fish,2.1972245773362196,log(mg/L),"ECOTOX, Literature set"
41,C18H22,C1=CC(c2ccc(C3CC=CCC3)cc2)CCC1,61788-32-7,238.3672790527344,fish,-0.6733445532637656,log(mg/L),"ECHA, Literature set"
42,C8H12,C1=CCCC=CCC1,111-78-4,108.1808853149414,fish,2.5649493574615367,log(mg/L),"NITE, VEGA, Literature set"
43,C12H23N,C1CCC(NC2CCCCC2)CC1,101-83-7,181.31771850585938,fish,2.4849066497880004,log(mg/L),"ECHA, NITE, Literature set"
44,C13H16N2S2,c1ccc2sc(SNC3CCCCC3)nc2c1,95-33-0,264.4095458984375,fish,0.7419373447293773,log(mg/L),"ECHA, NITE, VEGA, Literature set"
45,C12H16,c1ccc(C2CCCCC2)cc1,827-52-1,160.2554473876953,fish,0.1823215567939546,log(mg/L),"ECHA, NITE, Literature set"
46,C10H18,C1CCC2CCCCC2C1,91-17-8,138.24992370605472,fish,-0.9942522733438669,log(mg/L),"NITE, Literature set"
47,C6H10,C1=CCCCC1,110-83-8,82.14360046386719,fish,1.7578579175523736,log(mg/L),"ECHA, ECOTOX, NITE, OASIS, Literature set"
48,C5H10,C1CCCC1,287-92-3,70.13290405273439,fish,3.306337100638195,log(mg/L),"OASIS, Literature set"
49,C8H14O,C1CCCC2OC2CC1,000286-62-4,126.19615936279295,fish,5.297166704790641,log(mg/L),"VEGA, Literature set"
50,C6H12,C1CCCCC1,110-82-7,84.15948486328125,fish,3.5179428421865455,log(mg/L),"ECHA, OASIS, ECOTOX, EPAFHM, VEGA, Literature set"
51,C4H9N,C1CCNC1,123-75-1,71.12096405029297,fish,4.875197323201151,log(mg/L),ECHA
52,C4H8O,C1CCOC1,109-99-9,72.10572052001953,fish,7.67786350067821,log(mg/L),"ECOTOX, OASIS, EPAFHM, Literature set, ECHA, VEGA"
53,C10H12,c1ccc2c(c1)CCCC2,119-64-2,132.20228576660156,fish,1.7047480922384253,log(mg/L),"ECHA, NITE, Literature set"
54,C9H11N,c1cnc2c(c1)CCCC2,10500-57-9,133.19033813476562,fish,3.6109179126442243,log(mg/L),"NITE, VEGA, Literature set"
55,C17H20N2,c1ccc(C(c2ccccc2)N2CCNCC2)cc1,841-77-0,252.3541107177734,fish,2.772588722239781,log(mg/L),ECHA
56,C11H12N2OS3,c1ccc2sc(SSN3CCOCC3)nc2c1,95-32-9,284.4207763671875,fish,-0.7139478163190247,log(mg/L),"NITE, Literature set"
57,C11H12N2OS2,c1ccc2sc(SN3CCOCC3)nc2c1,102772,252.35577392578125,fish,1.2478939913838643,log(mg/L),Literature set
58,C6H12N2,C1CN2CCN1CC2,280-57-9,112.17288208007812,fish,7.455876687491824,log(mg/L),"ECOTOX, EPAFHM, Literature set, VEGA"
59,C9H10N2,c1ccc(C2=NCCN2)cc1,936-49-2,146.18910217285156,fish,3.7612001156935624,log(mg/L),ECHA
