,compound_name,species,smiles,rat_LD50,units,source
0,"Diazene, diphenyl-, 1-oxide",Rat,[O-][N+](=Nc1ccccc1)c1ccccc1,-2.505,log(mol/kg),https://doi.org/10.1021/tx900189p
1,"Methane, tribromo-",Rat,BrC(Br)Br,-2.343,log(mol/kg),https://doi.org/10.1021/tx900189p
2,Bromoethene (9CI),Rat,C=CBr,-2.33,log(mol/kg),https://doi.org/10.1021/tx900189p
3,"1,1'-Biphenyl, hexabromo-",Rat,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,-1.465,log(mol/kg),https://doi.org/10.1021/tx900189p
4,"Isothiocyanic acid, p-bromophenyl ester",Rat,S=C=Nc1ccc(Br)cc1,-2.729,log(mol/kg),https://doi.org/10.1021/tx900189p
5,"2(3H)-Benzoxazolone, 6-bromo- (9CI)",Rat,O=c1[nH]c2ccc(Br)cc2o1,-2.33,log(mol/kg),https://doi.org/10.1021/tx900189p
6,"Benzene, bromo-",Rat,Brc1ccccc1,-1.765,log(mol/kg),https://doi.org/10.1021/tx900189p
7,"2H-1,4-Benzodiazepin-2-one, 7-bromo-1,3-dihydro-5-(2-pyridinyl)-",Rat,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,-2.21,log(mol/kg),https://doi.org/10.1021/tx900189p
8,"1H-Imidazole, 2,4,5-tribromo-",Rat,Brc1nc(Br)c(Br)[nH]1,-3.952,log(mol/kg),https://doi.org/10.1021/tx900189p
9,"Methane, dibromo-",Rat,BrCBr,-3.207,log(mol/kg),https://doi.org/10.1021/tx900189p
10,"1-Propanol, 2,3-dibromo-, phosphate (3:1)",Rat,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,-2.839,log(mol/kg),https://doi.org/10.1021/tx900189p
11,"2-Butene, 1,4-dibromo-",Rat,BrCC=CCBr,-3.455,log(mol/kg),https://doi.org/10.1021/tx900189p
12,"Ethane, 1,2-dibromo-",Rat,BrCCBr,-3.24,log(mol/kg),https://doi.org/10.1021/tx900189p
13,"Piperazine, 1,4-bis(3-bromo-1-oxopropyl)-",Rat,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,-3.209,log(mol/kg),https://doi.org/10.1021/tx900189p
14,"1,6-Heptadiyne",Rat,C#CCCCC#C,-1.6030000000000002,log(mol/kg),https://doi.org/10.1021/tx900189p
15,2-Propynyl ether,Rat,C#CCOCC#C,-2.242,log(mol/kg),https://doi.org/10.1021/tx900189p
16,"Ether, bis(3,4-epoxybutyl)",Rat,C(CC1CO1)OCCC1CO1,-2.17,log(mol/kg),https://doi.org/10.1021/tx900189p
17,"Oxirane, 2,2'-(1,4-butanediyl)bis- (9CI)",Rat,C(CCC1CO1)CC1CO1,-2.124,log(mol/kg),https://doi.org/10.1021/tx900189p
18,"Benzene, 1,1'-(oxybis(methylene))bis-",Rat,c1ccc(COCc2ccccc2)cc1,-1.899,log(mol/kg),https://doi.org/10.1021/tx900189p
19,"Oxirane, 2,2'-(oxybis(methylene))bis-",Rat,C(OCC1CO1)C1CO1,-2.461,log(mol/kg),https://doi.org/10.1021/tx900189p
20,"Phosphoric acid, tris(trimethylsilyl) ester",Rat,C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,-1.961,log(mol/kg),https://doi.org/10.1021/tx900189p
21,"Butanenitrile, 4-(dichloromethylsilyl)-",Rat,C[Si](Cl)(Cl)CCCC#N,-1.809,log(mol/kg),https://doi.org/10.1021/tx900189p
22,"Succinimide, 2-methylene-N-(m-nitrophenyl)-",Rat,C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,-1.968,log(mol/kg),https://doi.org/10.1021/tx900189p
23,"2-Oxetanone, 4-methylene-",Rat,C=C1CC(=O)O1,-2.176,log(mol/kg),https://doi.org/10.1021/tx900189p
24,2-Propenenitrile,Rat,C=CC#N,-2.833,log(mol/kg),https://doi.org/10.1021/tx900189p
25,"2-Propenamide, N,N'-methylenebis-",Rat,C=CC(=O)NCNC(=O)C=C,-2.597,log(mol/kg),https://doi.org/10.1021/tx900189p
26,"Acrylic acid, 2-norbornyl ester",Rat,C=CC(=O)OC1CC2CCC1C2,-1.4680000000000002,log(mol/kg),https://doi.org/10.1021/tx900189p
27,"2-Propenoic acid, oxiranylmethyl ester",Rat,C=CC(=O)OCC1CO1,-2.785,log(mol/kg),https://doi.org/10.1021/tx900189p
28,"Acrylic acid, ester with hydracrylonitrile",Rat,C=CC(=O)OCCC#N,-2.842,log(mol/kg),https://doi.org/10.1021/tx900189p
29,"2-Propenoic acid, 1,2-ethanediyl ester",Rat,C=CC(=O)OCCOC(=O)C=C,-2.754,log(mol/kg),https://doi.org/10.1021/tx900189p
30,"2-Propenoic acid, 2-phenoxyethyl ester",Rat,C=CC(=O)OCCOc1ccccc1,-1.569,log(mol/kg),https://doi.org/10.1021/tx900189p
31,"Acrylic acid, 2-(2-cyanoethoxy)ethyl ester",Rat,C=CC(=O)OCCOCCC#N,-2.1790000000000003,log(mol/kg),https://doi.org/10.1021/tx900189p
32,"2-Propenoic acid, oxydi-2,1-ethanediyl ester",Rat,C=CC(=O)OCCOCCOC(=O)C=C,-2.729,log(mol/kg),https://doi.org/10.1021/tx900189p
33,"1,3-Butadiene",Rat,C=CC=C,-0.994,log(mol/kg),https://doi.org/10.1021/tx900189p
34,"Hexa-1,3,5-triene, mixed isomers",Rat,C=CC=CC=C,-2.582,log(mol/kg),https://doi.org/10.1021/tx900189p
35,"2-Propenal, phenylhydrazone (9CI)",Rat,C=CC=NNc1ccccc1,-2.32,log(mol/kg),https://doi.org/10.1021/tx900189p
36,Acrylaldehyde,Rat,C=CC=O,-3.0860000000000003,log(mol/kg),https://doi.org/10.1021/tx900189p
37,"Benzene, ethenyl-",Rat,C=Cc1ccccc1,-1.319,log(mol/kg),https://doi.org/10.1021/tx900189p
38,"Pyridine, 2-ethenyl-",Rat,C=Cc1ccccn1,-3.022,log(mol/kg),https://doi.org/10.1021/tx900189p
39,"Pyridine, 4-ethenyl-",Rat,C=Cc1ccncc1,-3.022,log(mol/kg),https://doi.org/10.1021/tx900189p
40,"Bicyclo(2.2.1)hept-2-ene, 5-ethenyl-",Rat,C=CC1CC2C=CC1C2,-1.44,log(mol/kg),https://doi.org/10.1021/tx900189p
41,"2H-Pyran, 2,5-diethenyltetrahydro- (9CI)",Rat,C=CC1CCC(C=C)OC1,-1.75,log(mol/kg),https://doi.org/10.1021/tx900189p
42,"Cyclohexene, 4-vinyl- (8CI)",Rat,C=CC1CC=CCC1,-1.625,log(mol/kg),https://doi.org/10.1021/tx900189p
43,"7-Oxabicyclo(4.1.0)heptane, 3-ethenyl-",Rat,C=CC1CCC2OC2C1,-1.793,log(mol/kg),https://doi.org/10.1021/tx900189p
44,"2,4,8,10-Tetraoxaspiro(5,5)undecane, 3,9-diethenyl- (9CI)",Rat,C=CC1OCC2(CO1)COC(C=C)OC2,-1.7180000000000002,log(mol/kg),https://doi.org/10.1021/tx900189p
45,3-Butenenitrile,Rat,C=CCC#N,-2.766,log(mol/kg),https://doi.org/10.1021/tx900189p
46,"Benzene, 4-allyl-1,2-(methylenedioxy)-",Rat,C=CCc1ccc2c(c1)OCO2,-1.92,log(mol/kg),https://doi.org/10.1021/tx900189p
47,"Ether, 2,6-diallylphenyl 2,3-epoxypropyl",Rat,C=CCc1cccc(CC=C)c1OCC1CO1,-1.71,log(mol/kg),https://doi.org/10.1021/tx900189p
48,"3-Allyl(dihydro)furan-2,5-dione",Rat,C=CCC1CC(=O)OC1=O,-2.117,log(mol/kg),https://doi.org/10.1021/tx900189p
49,4-Pentenal,Rat,C=CCCC=O,-2.132,log(mol/kg),https://doi.org/10.1021/tx900189p
50,"2-Propen-1-amine, N,N-di-2-propenyl-",Rat,C=CCN(CC=C)CC=C,-2.125,log(mol/kg),https://doi.org/10.1021/tx900189p
51,"2-Propen-1-amine, N-nitroso-N-2-propenyl- (9CI)",Rat,C=CCN(CC=C)N=O,-2.198,log(mol/kg),https://doi.org/10.1021/tx900189p
52,"Isothiocyanic acid, allyl ester",Rat,C=CCN=C=S,-2.947,log(mol/kg),https://doi.org/10.1021/tx900189p
53,"2-Propen-1-amine, N-2-propenyl-",Rat,C=CCNCC=C,-2.226,log(mol/kg),https://doi.org/10.1021/tx900189p
54,"2-Butenedioic acid (Z)-, di-2-propenyl ester (9CI)",Rat,C=CCOC(=O)C=CC(=O)OCC=C,-2.8160000000000003,log(mol/kg),https://doi.org/10.1021/tx900189p
55,"1,2-Benzenedicarboxylic acid, di-2-propenyl ester",Rat,C=CCOC(=O)c1ccccc1C(=O)OCC=C,-2.505,log(mol/kg),https://doi.org/10.1021/tx900189p
56,"Benzeneacetic acid, 2-propenyl ester",Rat,C=CCOC(=O)Cc1ccccc1,-2.4330000000000003,log(mol/kg),https://doi.org/10.1021/tx900189p
57,"Cyclohexaneacetic acid, 2-propenyl ester",Rat,C=CCOC(=O)CC1CCCCC1,-2.306,log(mol/kg),https://doi.org/10.1021/tx900189p
58,"Cyclohexanepropanoic acid, 2-propenyl ester",Rat,C=CCOC(=O)CCC1CCCCC1,-2.526,log(mol/kg),https://doi.org/10.1021/tx900189p
59,"1-Propene, 3,3',3'',3'''-(1,2-ethanediylidenetetrakis(oxy))tetrakis- (9CI)",Rat,C=CCOC(OCC=C)C(OCC=C)OCC=C,-2.256,log(mol/kg),https://doi.org/10.1021/tx900189p
60,"1-Propene, 3-(ethenyloxy)- (9CI)",Rat,C=CCOC=C,-2.185,log(mol/kg),https://doi.org/10.1021/tx900189p
61,"Formic acid, allyl ester (8CI)",Rat,C=CCOC=O,-2.842,log(mol/kg),https://doi.org/10.1021/tx900189p
62,"Benzamide, o-allyloxy-N-cyclohexyl-",Rat,C=CCOc1ccccc1C(=O)NC1CCCCC1,-2.335,log(mol/kg),https://doi.org/10.1021/tx900189p
63,"Bicyclo(2.2.1)heptan-2,5-diol, diallyl ether",Rat,C=CCOC1CC2CC1CC2OCC=C,-1.747,log(mol/kg),https://doi.org/10.1021/tx900189p
64,"1-Propene, 3,3'-oxybis-",Rat,C=CCOCC=C,-2.487,log(mol/kg),https://doi.org/10.1021/tx900189p
65,"Propanenitrile, 3-(2-propenyloxy)- (9CI)",Rat,C=CCOCCC#N,-1.932,log(mol/kg),https://doi.org/10.1021/tx900189p
66,"Aziridine, 1-ethenyl- (9CI)",Rat,C=CN1CC1,-2.895,log(mol/kg),https://doi.org/10.1021/tx900189p
67,1-Ethenyl-2-pyrrolidinone (9CI),Rat,C=CN1CCCC1=O,-1.879,log(mol/kg),https://doi.org/10.1021/tx900189p
68,"Benzoic acid, ethenyl ester (9CI)",Rat,C=COC(=O)c1ccccc1,-1.659,log(mol/kg),https://doi.org/10.1021/tx900189p
69,"Formic acid, ethenyl ester",Rat,C=COC=O,-1.4069999999999998,log(mol/kg),https://doi.org/10.1021/tx900189p
70,"Ethene, 1,1'-(oxybis(2,1-ethanediyloxy))bis-",Rat,C=COCCOCCOC=C,-1.6269999999999998,log(mol/kg),https://doi.org/10.1021/tx900189p
71,"Ethene, 1,1'-sulfonylbis-",Rat,C=CS(=O)(=O)C=C,-3.567,log(mol/kg),https://doi.org/10.1021/tx900189p
72,Formaldehyde,Rat,C=O,-1.574,log(mol/kg),https://doi.org/10.1021/tx900189p
73,"4,4'-Bipyridine",Rat,c1cc(-c2ccncc2)ccn1,-2.958,log(mol/kg),https://doi.org/10.1021/tx900189p
74,"1H-Imidazole, 1-((1,1'-biphenyl)-4-ylphenylmethyl)-, (+-)-",Rat,c1ccc(-c2ccc(C(c3ccccc3)n3ccnc3)cc2)cc1,-2.327,log(mol/kg),https://doi.org/10.1021/tx900189p
75,"1,1'-Biphenyl",Rat,c1ccc(-c2ccccc2)cc1,-1.808,log(mol/kg),https://doi.org/10.1021/tx900189p
76,"Diazene, diphenyl-",Rat,c1ccc(N=Nc2ccccc2)cc1,-2.261,log(mol/kg),https://doi.org/10.1021/tx900189p
77,"Phosphine, triphenyl-",Rat,c1ccc(P(c2ccccc2)c2ccccc2)cc1,-2.574,log(mol/kg),https://doi.org/10.1021/tx900189p
78,"2,2'-Bipyridine",Rat,c1ccc(-c2ccccn2)nc1,-3.194,log(mol/kg),https://doi.org/10.1021/tx900189p
79,Isoquinoline,Rat,c1ccc2cnccc2c1,-2.555,log(mol/kg),https://doi.org/10.1021/tx900189p
80,"Benzene, pure",Rat,c1ccccc1,-1.3730000000000002,log(mol/kg),https://doi.org/10.1021/tx900189p
81,Pyridine,Rat,c1ccncc1,-1.948,log(mol/kg),https://doi.org/10.1021/tx900189p
82,Fluoranthene,Rat,c1ccc2c(c1)-c1cccc3cccc-2c13,-2.005,log(mol/kg),https://doi.org/10.1021/tx900189p
83,Quinoline,Rat,c1ccc2ncccc2c1,-2.591,log(mol/kg),https://doi.org/10.1021/tx900189p
84,Pyrene,Rat,c1cc2ccc3cccc4ccc(c1)c2c34,-1.875,log(mol/kg),https://doi.org/10.1021/tx900189p
85,"Naphthalene, pure",Rat,c1ccc2ccccc2c1,-2.418,log(mol/kg),https://doi.org/10.1021/tx900189p
86,"1,3,5-Cycloheptatriene",Rat,C1=CC=CCC=C1,-3.209,log(mol/kg),https://doi.org/10.1021/tx900189p
87,"4,7-Methano-1H-indene, 3a,4,7,7a-tetrahydro-",Rat,C1=CC2C3C=CC(C3)C2C1,-2.573,log(mol/kg),https://doi.org/10.1021/tx900189p
88,"1H-Indene, 3a,4,7,7a-tetrahydro-",Rat,C1=CCC2CC=CC2C1,-1.508,log(mol/kg),https://doi.org/10.1021/tx900189p
89,"Bicyclo(2.2.1)hepta-2,5-diene",Rat,C1=CC2C=CC1C2,-2.015,log(mol/kg),https://doi.org/10.1021/tx900189p
90,"Indan, 1,2:5,6-diepoxyhexahydro-",Rat,C1C2CC3OC3C2CC2OC12,-1.852,log(mol/kg),https://doi.org/10.1021/tx900189p
91,"4,7-Methanoindan, 3a,4,5,6,7,7a-hexahydro-1,2:5,6-diepoxy-",Rat,C1C2OC2C2C1C1CC2C2OC12,-2.893,log(mol/kg),https://doi.org/10.1021/tx900189p
92,"Bicyclo(2.2.1)hept-5-ene, 2-(4-cyclohexenyl)-",Rat,C1=CCC(C2CC3C=CC2C3)CC1,-1.609,log(mol/kg),https://doi.org/10.1021/tx900189p
93,Cyclopentene,Rat,C1=CCCC1,-1.614,log(mol/kg),https://doi.org/10.1021/tx900189p
94,"4,7-Methanobenzotrithiole, hexahydro-",Rat,C1CC2CC1C1SSSC21,-2.802,log(mol/kg),https://doi.org/10.1021/tx900189p
95,"Dimethylamine, 1,1'-di-2-norbornyl-, endo,endo-",Rat,C1CC2CC1CC2CNCC1CC2CCC1C2,-2.219,log(mol/kg),https://doi.org/10.1021/tx900189p
96,"6-Oxabicyclo(3.1.0)hexane, 2,2'-oxybis-",Rat,C1CC2OC2C1OC1CCC2OC12,-1.93,log(mol/kg),https://doi.org/10.1021/tx900189p
97,"7-Oxabicyclo(4.1.0)heptane, 3-(epoxyethyl)-",Rat,C1CC2OC2CC1C1CO1,-1.818,log(mol/kg),https://doi.org/10.1021/tx900189p
98,"Ether, dicyclopentyl",Rat,C1CCC(OC2CCCC2)C1,-2.516,log(mol/kg),https://doi.org/10.1021/tx900189p
99,"1,4-Benzenediamine, N-cyclohexyl-N'-phenyl-",Rat,c1ccc(Nc2ccc(NC3CCCCC3)cc2)cc1,-2.124,log(mol/kg),https://doi.org/10.1021/tx900189p
100,"Cyclohexanamine, N-cyclohexyl-",Rat,C1CCC(NC2CCCCC2)CC1,-2.687,log(mol/kg),https://doi.org/10.1021/tx900189p
101,"Adenine, N-benzyl-9-(tetrahydro-2H-pyran-2-yl)- (8CI)",Rat,c1ccc(CNc2ncnc3c2ncn3C2CCCCO2)cc1,-2.276,log(mol/kg),https://doi.org/10.1021/tx900189p
102,"Naphthalene, 1,2,3,4-tetrahydro-",Rat,c1ccc2c(c1)CCCC2,-1.665,log(mol/kg),https://doi.org/10.1021/tx900189p
103,"Naphthalene, decahydro-",Rat,C1CCC2CCCCC2C1,-1.521,log(mol/kg),https://doi.org/10.1021/tx900189p
104,7-Oxabicyclo(4.1.0)heptane,Rat,C1CCC2OC2C1,-1.954,log(mol/kg),https://doi.org/10.1021/tx900189p
105,Cyclohexane,Rat,C1CCCCC1,-0.821,log(mol/kg),https://doi.org/10.1021/tx900189p
106,"1H-Azepine, hexahydro-",Rat,C1CCCNCC1,-2.384,log(mol/kg),https://doi.org/10.1021/tx900189p
107,"7,14-Methano-2H,6H-dipyrido(1,2-a:1',2'-e)(1,5)diazocine, dodecahydro-, (7S-(7alpha,7aalpha,14alpha,14abeta))-",Rat,C1CCN2CC3CC(CN4CCCCC34)C2C1,-2.388,log(mol/kg),https://doi.org/10.1021/tx900189p
108,"5H-Tetrazolo(1,5-a)azepine, 6,7,8,9-tetrahydro-",Rat,C1CCc2nnnn2CC1,-2.994,log(mol/kg),https://doi.org/10.1021/tx900189p
109,Piperidine,Rat,C1CCNCC1,-2.3280000000000003,log(mol/kg),https://doi.org/10.1021/tx900189p
110,"Furan, tetrahydro-",Rat,C1CCOC1,-1.408,log(mol/kg),https://doi.org/10.1021/tx900189p
111,"Piperazine, 1-phenyl-",Rat,c1ccc(N2CCNCC2)cc1,-2.888,log(mol/kg),https://doi.org/10.1021/tx900189p
112,"Morpholine, 4-(triphenylmethyl)-",Rat,c1ccc(C(c2ccccc2)(c2ccccc2)N2CCOCC2)cc1,-3.599,log(mol/kg),https://doi.org/10.1021/tx900189p
113,"Morpholine, 4-phenyl-",Rat,c1ccc(N2CCOCC2)cc1,-2.244,log(mol/kg),https://doi.org/10.1021/tx900189p
114,N-Oxydiethylene-2-benzothiazylsulfenamide,Rat,c1ccc2sc(SN3CCOCC3)nc2c1,-2.105,log(mol/kg),https://doi.org/10.1021/tx900189p
115,"Pyridine, 3-(3,4-dihydro-2H-pyrrol-5-yl)- (9CI)",Rat,c1cncc(C2=NCCC2)c1,-1.892,log(mol/kg),https://doi.org/10.1021/tx900189p
116,Ethyleneimine,Rat,C1CN1,-3.458,log(mol/kg),https://doi.org/10.1021/tx900189p
117,"1,3,5-Triazine, 2,4,6-tris(1-aziridinyl)-",Rat,C1CN1c1nc(N2CC2)nc(N2CC2)n1,-5.31,log(mol/kg),https://doi.org/10.1021/tx900189p
118,"10H-Phenothiazine, 10-(1-azabicyclo(2.2.2)oct-3-ylmethyl)- (9CI)",Rat,c1ccc2c(c1)Sc1ccccc1N2CC1CN2CCC1CC2,-3.119,log(mol/kg),https://doi.org/10.1021/tx900189p
119,Piperazine,Rat,C1CNCCN1,-1.656,log(mol/kg),https://doi.org/10.1021/tx900189p
120,"1H-1,4-Diazepine, hexahydro-",Rat,C1CNCCNC1,-1.5490000000000002,log(mol/kg),https://doi.org/10.1021/tx900189p
121,Ethylene oxide,Rat,C1CO1,-2.787,log(mol/kg),https://doi.org/10.1021/tx900189p
122,"p-Dioxane, 2,3-bis(2,3-epoxypropoxy)-",Rat,C1COC(OCC2CO2)C(OCC2CO2)O1,-2.337,log(mol/kg),https://doi.org/10.1021/tx900189p
123,Morpholine,Rat,C1COCCN1,-1.919,log(mol/kg),https://doi.org/10.1021/tx900189p
124,"1,4,7,10-Tetraoxacyclododecane",Rat,C1COCCOCCOCCO1,-1.794,log(mol/kg),https://doi.org/10.1021/tx900189p
125,"1,4,7,10,13-Pentaoxacyclopentadecane",Rat,C1COCCOCCOCCOCCO1,-2.194,log(mol/kg),https://doi.org/10.1021/tx900189p
126,"1,4,7,10,13,16-Hexanoxacyclooctadecane",Rat,C1COCCOCCOCCOCCOCCO1,-2.279,log(mol/kg),https://doi.org/10.1021/tx900189p
127,"1,3-Dioxolane",Rat,C1COCO1,-1.393,log(mol/kg),https://doi.org/10.1021/tx900189p
128,Ethylene sulfide,Rat,C1CS1,-2.529,log(mol/kg),https://doi.org/10.1021/tx900189p
129,"1,4-Oxathiane",Rat,C1CSCCO1,-1.5659999999999998,log(mol/kg),https://doi.org/10.1021/tx900189p
130,"7-Oxabicyclo(4.1.0)hepta-2,4,6-triene, 3-oxiranyl-",Rat,c1cc2c(cc1C1CO1)O2,-1.676,log(mol/kg),https://doi.org/10.1021/tx900189p
131,"Benzene, (epoxyethyl)-",Rat,c1ccc(C2CO2)cc1,-1.779,log(mol/kg),https://doi.org/10.1021/tx900189p
132,"Butane, 1,2:3,4-diepoxy-",Rat,C1OC1C1CO1,-3.043,log(mol/kg),https://doi.org/10.1021/tx900189p
133,"m-Xylene-alpha,alpha'-dioxirane",Rat,c1cc(CC2CO2)cc(CC2CO2)c1,-1.6569999999999998,log(mol/kg),https://doi.org/10.1021/tx900189p
134,"Oxiranemethanamine, N-(oxiranylmethyl)-N-phenyl-",Rat,c1ccc(N(CC2CO2)CC2CO2)cc1,-2.103,log(mol/kg),https://doi.org/10.1021/tx900189p
135,"Oxirane, 2,2'-((2-(oxiranylmethoxy)-1,3-phenylene)bis(methylene))bis-",Rat,c1cc(CC2CO2)c(OCC2CO2)c(CC2CO2)c1,-2.209,log(mol/kg),https://doi.org/10.1021/tx900189p
136,"Oxirane, 2,2'-(1,3-phenylenebis(oxymethylene))bis-",Rat,c1cc(OCC2CO2)cc(OCC2CO2)c1,-1.937,log(mol/kg),https://doi.org/10.1021/tx900189p
137,"Benzene, 1,2-methylenedioxy-",Rat,c1ccc2c(c1)OCO2,-2.323,log(mol/kg),https://doi.org/10.1021/tx900189p
138,"Methane, bromo-",Rat,CBr,-2.647,log(mol/kg),https://doi.org/10.1021/tx900189p
139,Acetonitrile,Rat,CC#N,-1.177,log(mol/kg),https://doi.org/10.1021/tx900189p
140,"2-Propenenitrile, 2-methyl-",Rat,C=C(C)C#N,-2.747,log(mol/kg),https://doi.org/10.1021/tx900189p
141,"2-Propenamide, N-(3,4-dichlorophenyl)-2-methyl- (9CI)",Rat,C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,-2.107,log(mol/kg),https://doi.org/10.1021/tx900189p
142,"2,8,9-Trioxa-5-aza-1-silabicyclo(3.3.3)undecane, 1-(hydroxymethyl)-, methacrylate",Rat,C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,-1.536,log(mol/kg),https://doi.org/10.1021/tx900189p
143,"2-Propenoic acid, 2-methyl-, 2-propenyl ester",Rat,C=CCOC(=O)C(=C)C,-2.467,log(mol/kg),https://doi.org/10.1021/tx900189p
