,datafile,model,featurizer,recall_score,jaccard_score
0,lunghini_fish_LC50,RFC,MordredDescriptors,0.8034857315922472,0.6607509412639174
1,lunghini_fish_LC50,RFC,CircularFingerprint,0.7428521037232805,0.6046838261884672
2,lunghini_fish_LC50,RFC,RDKitDescriptors,0.7966620051276928,0.6676795900139085
3,lunghini_fish_LC50,RFC,MACCSKeysFingerprint,0.749090086966594,0.5964038710821836
4,lunghini_fish_LC50,GPC,MordredDescriptors,0.0,0.0
5,lunghini_fish_LC50,GPC,CircularFingerprint,0.5862144875592697,0.4779855355880375
6,lunghini_fish_LC50,GPC,RDKitDescriptors,0.006386185697543553,0.006377798902076936
7,lunghini_fish_LC50,GPC,MACCSKeysFingerprint,0.7158055418903609,0.581233402008986
8,lunghini_daphnia_EC50,RFC,MordredDescriptors,0.7998965832691735,0.6501701652539154
9,lunghini_daphnia_EC50,RFC,CircularFingerprint,0.7357629814391603,0.5872122230454719
10,lunghini_daphnia_EC50,RFC,RDKitDescriptors,0.8061074914298516,0.6756627308647694
11,lunghini_daphnia_EC50,RFC,MACCSKeysFingerprint,0.7105174823788527,0.565692845167421
12,lunghini_daphnia_EC50,GPC,MordredDescriptors,0.0,0.0
13,lunghini_daphnia_EC50,GPC,CircularFingerprint,0.648476188273339,0.5155523008450047
14,lunghini_daphnia_EC50,GPC,RDKitDescriptors,0.008716370185955617,0.008707079959274087
15,lunghini_daphnia_EC50,GPC,MACCSKeysFingerprint,0.7041910986583853,0.560934142293408
16,lunghini_algea_EC50,RFC,MordredDescriptors,0.7755349745218714,0.6277661632185433
17,lunghini_algea_EC50,RFC,CircularFingerprint,0.7061907736607888,0.5421459048906753
18,lunghini_algea_EC50,RFC,RDKitDescriptors,0.7718745346675833,0.6320428219025463
19,lunghini_algea_EC50,RFC,MACCSKeysFingerprint,0.7177637472136797,0.5734845633257102
20,lunghini_algea_EC50,GPC,MordredDescriptors,0.0,0.0
21,lunghini_algea_EC50,GPC,CircularFingerprint,0.6283536213491571,0.48380641093327037
22,lunghini_algea_EC50,GPC,RDKitDescriptors,0.008359744022231533,0.008320888322861021
23,lunghini_algea_EC50,GPC,MACCSKeysFingerprint,0.698445784105368,0.5363471010413551
24,zhu_rat_LD50,RFC,MordredDescriptors,0.7907946967403177,0.6402270302290078
25,zhu_rat_LD50,RFC,CircularFingerprint,0.747647763752553,0.6200024538689854
26,zhu_rat_LD50,RFC,RDKitDescriptors,0.7816602600368334,0.6396203591502425
27,zhu_rat_LD50,RFC,MACCSKeysFingerprint,0.780134309626306,0.6352726398862992
28,zhu_rat_LD50,GPC,MordredDescriptors,0.01186980072102246,0.011857539084638628
29,zhu_rat_LD50,GPC,CircularFingerprint,0.6254717986788811,0.5500011296043048
30,zhu_rat_LD50,GPC,RDKitDescriptors,0.018967199934983414,0.018943342890160746
31,zhu_rat_LD50,GPC,MACCSKeysFingerprint,0.7430381667350459,0.6187499329678756
32,chembl_ecoli_MIC,RFC,MordredDescriptors,0.9047544324201822,0.8133330767847662
33,chembl_ecoli_MIC,RFC,CircularFingerprint,0.9108489647112241,0.8186645128004049
34,chembl_ecoli_MIC,RFC,RDKitDescriptors,0.9118998308901652,0.8237061731411897
35,chembl_ecoli_MIC,RFC,MACCSKeysFingerprint,0.9038468361102391,0.8098796713508077
36,chembl_ecoli_MIC,GPC,MordredDescriptors,0.23934027452324128,0.23558675447945493
37,chembl_ecoli_MIC,GPC,CircularFingerprint,0.8934400710854783,0.8064828686421098
38,chembl_ecoli_MIC,GPC,RDKitDescriptors,0.25528358043688637,0.25068048349612704
39,chembl_ecoli_MIC,GPC,MACCSKeysFingerprint,0.9000174293172437,0.8059369049964413
