,datafile,model,featurizer,r2,MSE
0,chembl_ecoli_MIC,RFR,MACCSKeysFingerprint,0.7278391409254473,1.516989518311596
1,chembl_ecoli_MIC,RFR,RDKitDescriptors,0.7344286384564136,1.4935029375913982
2,chembl_ecoli_MIC,RFR,CircularFingerprint,0.7545647542938398,1.3659480308577296
3,chembl_ecoli_MIC,RFR,MordredDescriptors,0.7223256962937292,1.5532889753685413
4,chembl_ecoli_MIC,GPR,MACCSKeysFingerprint,0.6053626702221314,2.2044132545401913
5,chembl_ecoli_MIC,GPR,RDKitDescriptors,0.2751489694053319,4.064851542092465
6,chembl_ecoli_MIC,GPR,CircularFingerprint,0.3095700326119072,3.858100091334548
7,chembl_ecoli_MIC,GPR,MordredDescriptors,0.27077466794808097,4.072453905708031
8,chembl_ecoli_MIC,LASSO,MACCSKeysFingerprint,-0.00034711923652754886,5.59043613685157
9,chembl_ecoli_MIC,LASSO,RDKitDescriptors,0.1280179848415735,4.879289049464897
10,chembl_ecoli_MIC,LASSO,CircularFingerprint,-0.00041251518230462915,5.59062907799148
11,chembl_ecoli_MIC,LASSO,MordredDescriptors,0.27350107399660606,4.059712283475402
12,zhu_rat_LD50,RFR,MACCSKeysFingerprint,0.6201636428995302,0.34777935898934753
13,zhu_rat_LD50,RFR,RDKitDescriptors,0.6132261944511791,0.3554267548083647
14,zhu_rat_LD50,RFR,CircularFingerprint,0.5727915257552401,0.3921658552164996
15,zhu_rat_LD50,RFR,MordredDescriptors,0.5977449408617919,0.36860214478631387
16,zhu_rat_LD50,GPR,MACCSKeysFingerprint,0.4140621007067252,0.538237885607429
17,zhu_rat_LD50,GPR,RDKitDescriptors,0.011957644554275126,0.9075255079265336
18,zhu_rat_LD50,GPR,CircularFingerprint,0.08156303547080339,0.8431446607250745
19,zhu_rat_LD50,GPR,MordredDescriptors,0.003848900998986804,0.9145747834339872
20,zhu_rat_LD50,LASSO,MACCSKeysFingerprint,-0.001727424687795187,0.9194959579167067
21,zhu_rat_LD50,LASSO,RDKitDescriptors,0.16434439144172575,0.7672226560061186
22,zhu_rat_LD50,LASSO,CircularFingerprint,-0.001156613562480091,0.9193012411718685
23,zhu_rat_LD50,LASSO,MordredDescriptors,0.28342990089584374,0.6569735268955653
24,lunghini_algea_EC50,RFR,MACCSKeysFingerprint,0.3694904779237841,3.4660781823375606
25,lunghini_algea_EC50,RFR,RDKitDescriptors,0.5156075187468729,2.65856741669623
26,lunghini_algea_EC50,RFR,CircularFingerprint,0.38103461924500986,3.393143255369373
27,lunghini_algea_EC50,RFR,MordredDescriptors,0.5235918909198483,2.6110551907246893
28,lunghini_algea_EC50,GPR,MACCSKeysFingerprint,0.18513003350379167,4.4831961823713815
29,lunghini_algea_EC50,GPR,RDKitDescriptors,-0.00124516672795294,5.515189534194177
30,lunghini_algea_EC50,GPR,CircularFingerprint,0.050180031525331056,5.229223270101565
31,lunghini_algea_EC50,GPR,MordredDescriptors,-0.0010967721021061915,5.513286668388315
32,lunghini_algea_EC50,LASSO,MACCSKeysFingerprint,-0.004064396965888273,5.521733581114036
33,lunghini_algea_EC50,LASSO,RDKitDescriptors,0.31515968671373995,3.7560356466531326
34,lunghini_algea_EC50,LASSO,CircularFingerprint,-0.004101332051979112,5.521165814243422
35,lunghini_algea_EC50,LASSO,MordredDescriptors,0.31036919067398483,3.7679124213825275
36,lunghini_daphnia_EC50,RFR,MACCSKeysFingerprint,0.4750454930753601,4.034654387210341
37,lunghini_daphnia_EC50,RFR,RDKitDescriptors,0.5611099606756416,3.3769140553819015
38,lunghini_daphnia_EC50,RFR,CircularFingerprint,0.4954543557362898,3.8832056246030406
39,lunghini_daphnia_EC50,RFR,MordredDescriptors,0.5675069388564895,3.3119771318598135
40,lunghini_daphnia_EC50,GPR,MACCSKeysFingerprint,0.2493389443534595,5.765833043582113
41,lunghini_daphnia_EC50,GPR,RDKitDescriptors,-0.0029603898455049958,7.704274421321055
42,lunghini_daphnia_EC50,GPR,CircularFingerprint,0.04162631594323327,7.374018615208017
43,lunghini_daphnia_EC50,GPR,MordredDescriptors,-0.0031622149618721895,7.713951782101269
44,lunghini_daphnia_EC50,LASSO,MACCSKeysFingerprint,-0.0019978979772727,7.719576172564537
45,lunghini_daphnia_EC50,LASSO,RDKitDescriptors,0.32559377994083755,5.1926905593212265
46,lunghini_daphnia_EC50,LASSO,CircularFingerprint,-0.0009285142620236719,7.717008967277986
47,lunghini_daphnia_EC50,LASSO,MordredDescriptors,-0.8928550056546942,15.922805951968865
48,lunghini_fish_LC50,RFR,MACCSKeysFingerprint,0.5014295015190786,3.588890176216309
49,lunghini_fish_LC50,RFR,RDKitDescriptors,0.619418036386746,2.744597939291091
50,lunghini_fish_LC50,RFR,CircularFingerprint,0.45671156208228714,3.9220433578384686
51,lunghini_fish_LC50,RFR,MordredDescriptors,0.6205935551157504,2.7344264588665723
52,lunghini_fish_LC50,GPR,MACCSKeysFingerprint,0.2251477168145773,5.610792792384025
53,lunghini_fish_LC50,GPR,RDKitDescriptors,-0.002578983959780201,7.249889662322074
54,lunghini_fish_LC50,GPR,CircularFingerprint,0.06256676053813268,6.790944741721876
55,lunghini_fish_LC50,GPR,MordredDescriptors,-0.0038619848128738977,7.251208320992116
56,lunghini_fish_LC50,LASSO,MACCSKeysFingerprint,-0.0007910618408105919,7.253319263336242
57,lunghini_fish_LC50,LASSO,RDKitDescriptors,0.4345120042096632,4.0890619558251124
58,lunghini_fish_LC50,LASSO,CircularFingerprint,-0.0003913197909622301,7.252450315231419
59,lunghini_fish_LC50,LASSO,MordredDescriptors,0.4707543935664941,3.802617593343732
