,smiles,CircularFingerprint
0,[O-][N+](=Nc1ccccc1)c1ccccc1,[0. 0. 0. ... 0. 0. 0.]
1,BrC(Br)Br,[0. 1. 0. ... 0. 0. 0.]
2,C=CBr,[0. 0. 0. ... 0. 0. 0.]
3,Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,[0. 0. 0. ... 0. 0. 0.]
4,S=C=Nc1ccc(Br)cc1,[0. 0. 0. ... 0. 0. 0.]
5,O=c1[nH]c2ccc(Br)cc2o1,[0. 0. 0. ... 0. 0. 0.]
6,Brc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
7,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,[0. 0. 0. ... 0. 0. 0.]
8,Brc1nc(Br)c(Br)[nH]1,[0. 0. 0. ... 0. 0. 0.]
9,BrCBr,[0. 0. 0. ... 0. 0. 0.]
10,O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,[0. 1. 0. ... 0. 0. 0.]
11,BrCC=CCBr,[0. 0. 0. ... 0. 0. 0.]
12,BrCCBr,[0. 0. 0. ... 0. 0. 0.]
13,O=C(CCBr)N1CCN(C(=O)CCBr)CC1,[0. 0. 0. ... 0. 0. 0.]
14,C#CCCCC#C,[0. 0. 0. ... 0. 0. 0.]
15,C#CCOCC#C,[0. 0. 0. ... 0. 0. 0.]
16,C(CC1CO1)OCCC1CO1,[0. 0. 0. ... 0. 0. 0.]
17,C(CCC1CO1)CC1CO1,[0. 0. 0. ... 0. 0. 0.]
18,c1ccc(COCc2ccccc2)cc1,[0. 0. 0. ... 0. 0. 0.]
19,C(OCC1CO1)C1CO1,[0. 0. 0. ... 0. 0. 0.]
20,C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,[0. 0. 0. ... 0. 0. 0.]
21,C[Si](Cl)(Cl)CCCC#N,[0. 1. 0. ... 0. 0. 0.]
22,C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,[0. 0. 0. ... 0. 0. 0.]
23,C=C1CC(=O)O1,[0. 0. 0. ... 0. 0. 0.]
24,C=CC#N,[0. 0. 0. ... 0. 0. 0.]
25,C=CC(=O)NCNC(=O)C=C,[0. 0. 0. ... 0. 0. 0.]
26,C=CC(=O)OC1CC2CCC1C2,[0. 0. 0. ... 0. 0. 1.]
27,C=CC(=O)OCC1CO1,[0. 0. 0. ... 0. 0. 0.]
28,C=CC(=O)OCCC#N,[0. 0. 0. ... 0. 0. 0.]
29,C=CC(=O)OCCOC(=O)C=C,[0. 0. 0. ... 0. 0. 0.]
30,C=CC(=O)OCCOc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
31,C=CC(=O)OCCOCCC#N,[0. 0. 0. ... 0. 0. 0.]
32,C=CC(=O)OCCOCCOC(=O)C=C,[0. 0. 0. ... 0. 0. 0.]
33,C=CC=C,[0. 0. 0. ... 0. 0. 0.]
34,C=CC=CC=C,[0. 0. 0. ... 0. 0. 0.]
35,C=CC=NNc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
36,C=CC=O,[0. 0. 0. ... 0. 0. 0.]
37,C=Cc1ccccc1,[0. 0. 0. ... 0. 0. 0.]
38,C=Cc1ccccn1,[0. 0. 0. ... 0. 0. 0.]
39,C=Cc1ccncc1,[0. 0. 0. ... 0. 0. 0.]
40,C=CC1CC2C=CC1C2,[0. 0. 0. ... 0. 0. 0.]
41,C=CC1CCC(C=C)OC1,[0. 0. 0. ... 0. 0. 0.]
42,C=CC1CC=CCC1,[0. 0. 0. ... 0. 0. 0.]
43,C=CC1CCC2OC2C1,[0. 0. 0. ... 0. 0. 0.]
