Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL4545569,,0,520.56,1,-0.08,C[C@@](CCN1Cc2cc(C#CC#CCOC(=O)N3CCC(O)CC3)cn2C1=O)(C(=O)NO)S(C)(=O)=O,MIC,'=',0.5,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4324955,Antibacterial activity against wild-type Escherichia coli ATCC 25922 by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4321865,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4462541,,0,862.12,2,3.60,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](Cn3cc(-c4ccccc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,MIC,'=',32.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4336176,Antibacterial activity against penicillin-susceptible Escherichia coli ATCC 25922 incubated for 24 hrs by broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4334458,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4463662,,0,976.14,2,4.34,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@H](COCc3cn(-c4ccc(OC(F)(F)F)cc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,MIC,'=',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4336176,Antibacterial activity against penicillin-susceptible Escherichia coli ATCC 25922 incubated for 24 hrs by broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4334458,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4476233,,0,976.14,2,4.34,CO[C@]1(C)C[C@H](O[C@H]2[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@H](N(C)C)[C@H]3O)[C@](C)(OC)C[C@@H](C)[C@H](O)[C@H](C)CN(C)C[C@@H](COCc3cn(-c4ccc(OC(F)(F)F)cc4)nn3)OC(=O)[C@@H]2C)O[C@@H](C)[C@@H]1O,MIC,'=',128.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4336176,Antibacterial activity against penicillin-susceptible Escherichia coli ATCC 25922 incubated for 24 hrs by broth dilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4334458,1,Scientific Literature,Eur J Med Chem,2019,None,
CHEMBL4593661,,0,447.51,0,0.34,C[C@]1(CO)C[C@@H]1C#CC#Cc1cc2n(c1)C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)C2,MIC,'=',0.25,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4325024,Antibacterial activity against Escherichia coli ATCC 25922 assessed as reduction in bacterial growth by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4321867,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL4570914,,0,490.60,0,2.03,CC(C)(O)c1ccc(C#Cc2cc3c(s2)C(=O)N(CC[C@](C)(C(=O)NO)S(C)(=O)=O)C3)cc1,MIC,'=',0.12,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4324955,Antibacterial activity against wild-type Escherichia coli ATCC 25922 by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4321865,1,Scientific Literature,J Med Chem,2020,None,
CHEMBL3338941,,0,765.84,2,3.50,N=C(N)NCCc1ccc(OCc2cc(COc3ccc(CCNC(=N)N)cc3)cc(COc3ccc(CCNC(=N)N)cc3)c2)cc1.O=C(O)C(F)(F)F,MIC,'<',1.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL3383042,Antimicrobial activity against Escherichia coli ATCC 25922 by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL3351769,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2014,None,
CHEMBL2337351,,0,450.54,1,-0.59,CC(=O)c1cccc(N[C@H]2[C@H](N)[C@@](NC(=O)N3CCCC3)([C@H](C)O)[C@@](C)(O)[C@@]2(O)CO)c1,MIC,'=',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL2344587,Antibacterial activity against Escherichia coli ATCC 25922 after 20 hrs by broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL2331463,1,Scientific Literature,Bioorg. Med. Chem.,2013,None,
CHEMBL4513993,,0,425.19,0,2.28,NC(=O)c1c(F)ccc(OCc2nn(-c3ccc(Br)cc3)c(=O)[nH]2)c1F,MIC,'>',64.0,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL4390184,Antibacterial activity against Escherichia coli ATCC 25922 incubated for 24 hrs by CLSI protocol based broth microdilution method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL4387753,1,Scientific Literature,Bioorg Med Chem,2019,None,
CHEMBL2430803,,0,552.57,2,6.13,O=C(CSc1nnc(-c2cccc([N+](=O)[O-])c2)o1)Nc1ccc(C(=O)/C=C\c2cc3ccccc3cc2O)cc1,MIC,'=',62.5,ug.mL-1,,,,UO_0000274,,,,,FALSE,CHEMBL2432759,Antibacterial activity against Escherichia coli ATCC 25922 by micro dilution/broth titre method,F,BAO_0000218,organism-based format,Escherichia coli,None,None,None,None,,,,CHEMBL354,Escherichia coli,Escherichia coli,ORGANISM,CHEMBL2429864,1,Scientific Literature,Med Chem Res,2013,None,
